	ACAA1	ACOX3	ACSBG1	ACSF3	ADH6	AKR1B10	AKR1C3	ALDH2	ALDH7A1	ATF3	BMI1	CERK	CERS4	CERS5	CPS1	CTCF	CYP21A2	CYP39A1	DACH1	DGAT1	DGKE	DNMT3B	EBF1	EHHADH	ENPP2	FOXP1	GBF1	GCDH	GLYCTK	HDAC2	HMG20A	HNF4G	HNRNPL	HPGDS	HSD11B1	HSD17B3	HSD3B7	IRF5	JMJD7-PLA2G4B	KAT2B	KLF6	KLF9	L3MBTL2	LBR	LCAT	LEF1	LIPC	LIPH	MCM5	MCM7	MIXL1	MYNN	NR2C1	NR2F1	PATZ1	PEMT	PGS1	PISD	PKNOX1	PLA2G12A	PLD3	POLR2A	PRDM4	PTGDS	PYGO2	RBBP5	RERE	RXRA	SCRT2	SGMS1	SMAD2	SMARCE1	SOX13	SOX6	THRAP3	TM7SF2	WT1	YY1	ZBTB11	ZIC2	ZKSCAN1	ZNF140	ZNF217	ZNF366	ZNF423	ZNF488	ZNF626	ZNF707	ZZZ3
ATF3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	0	2	1	
BMI1	2	2	1	2	1	1	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	1	0	2	2	2	2	2	0	2	2	2	2	2	2	1	2	0	0	2	1	
CTCF	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	
DACH1	2	1	0	2	0	2	1	2	1	2	2	1	2	2	0	2	0	0	0	2	0	2	1	1	0	1	2	2	0	2	2	0	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	0	2	1	0	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1	2	0	2	2	1	2	2	2	2	2	0	2	2	2	1	0	1	0	2	2	
DNMT3B	2	1	0	2	1	0	2	2	2	0	0	1	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	0	0	2	2	2	2	2	2	0	1	2	2	2	0	2	2	1	2	2	2	1	1	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	1	2	0	2	2	2	0	0	0	2	2	2	
EBF1	2	2	2	2	0	2	0	2	2	2	2	2	1	2	0	2	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	1	2	1	0	2	2	
FOXP1	2	1	0	2	2	0	2	2	2	2	0	2	2	2	1	2	0	0	0	0	2	1	1	2	1	2	2	2	2	2	2	2	2	1	0	1	2	2	1	0	2	2	2	2	2	1	2	0	2	2	2	1	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	1	0	0	2	1	
HDAC2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	0	2	2	
HMG20A	2	1	0	2	2	1	2	2	2	2	2	2	1	2	1	2	0	1	1	0	2	0	1	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	1	1	2	1	2	2	2	1	2	1	2	2	0	2	2	2	2	1	2	1	2	0	1	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	0	2	0	1	0	0	2	0	
HNF4G	2	2	1	2	2	0	2	2	2	1	0	2	1	2	1	2	2	0	0	0	2	0	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	0	1	2	2	2	2	2	0	2	0	2	0	2	1	2	1	1	2	2	2	1	1	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	1	0	0	2	2	
