	ACOT1	AGPAT2	AHR	CERS1	CHPT1	COMT	CYP27B1	ELF4	ELOVL6	FADS1	FOSL1	FOSL2	FOXK2	GBA	GPAT3	GTF3C2	HLF	KLF10	KLF11	KLF16	KLF6	LYPLA1	MAFG	MEIS2	MIER2	PAFAH1B2	PCYT1B	PEDS1	PKNOX1	PLA2G3	POLR2A	RUNX1	SCD5	SLC27A5	SMPD4	SOX13	SP2	SRD5A3	TM7SF2	ZBTB21	ZNF2	ZNF311	ZNF416	ZNF423	ZNF514	ZNF610	ZNF626	ZNF781
AHR	2	2	1	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	1	2	2	2	2	2	0	2	2	0	1	2	2	2	
ELF4	2	0	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	1	0	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	0	2	2	2	0	2	2	0	2	
FOSL1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	0	2	
FOSL2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	1	2	0	0	2	
FOXK2	2	1	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
GTF3C2	2	0	1	0	2	0	0	0	0	0	0	1	2	2	2	2	0	1	0	0	0	0	0	0	2	0	2	1	2	0	2	0	0	0	2	2	1	2	0	0	0	2	0	0	0	0	0	2	
HLF	2	1	1	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	1	1	0	2	2	
KLF10	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	
KLF11	2	0	1	1	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	0	2	2	0	2	1	2	2	2	2	2	2	2	0	0	2	2	0	2	0	2	2	
KLF16	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
KLF6	2	0	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	
MAFG	2	0	1	0	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	0	2	0	2	0	2	0	2	
MEIS2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
MIER2	2	0	1	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	0	2	1	0	2	2	1	2	1	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	
PKNOX1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
POLR2A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
RUNX1	0	1	0	0	0	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	0	2	0	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	
SOX13	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	1	2	
SP2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZBTB21	2	1	1	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
ZNF2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
ZNF311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	1	0	0	2	1	0	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	
ZNF416	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	0	2	0	0	2	0	2	2	0	0	0	0	2	2	1	0	0	0	2	
ZNF423	2	2	0	0	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	2	0	2	0	2	
ZNF514	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	
ZNF610	2	0	0	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	2	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
ZNF626	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
ZNF781	2	0	0	0	0	2	0	2	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	2	2	0	0	0	0	1	2	0	0	0	0	2	2	1	1	2	0	2	
