	ADH1A	AKR1B1	CBFB	CHKB	CHPT1	CPN2	DEGS1	DGKI	EHMT2	ETV1	FADS1	FOSL2	GBA	GPD1	HACD2	KDSR	KLF6	KLF8	LPCAT1	LPIN2	PCYT1A	PRDM4	PTDSS1	RFXANK	SLC27A5	SOAT1	ZFP3	ZNF623
CBFB	1	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	
EHMT2	0	2	2	2	1	2	2	2	2	2	2	2	2	0	2	0	2	0	0	2	2	2	0	2	2	2	2	2	
ETV1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	
FOSL2	0	2	2	2	2	2	2	2	2	1	2	2	2	0	1	2	2	0	2	2	2	2	1	2	2	2	2	2	
KLF6	1	2	2	2	2	2	2	0	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	
KLF8	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
PRDM4	0	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	0	2	2	2	2	1	2	2	2	2	2	
RFXANK	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	0	2	
ZFP3	0	0	0	2	0	2	2	2	2	0	2	1	2	2	0	0	1	0	0	0	2	0	1	2	0	2	2	2	
ZNF623	0	1	0	2	1	2	2	0	2	1	0	2	2	0	0	2	1	0	1	0	0	0	0	2	2	2	0	2	
