	ACOT1	AKR1C3	ARID2	BCOR	CBFB	CHD1	CHD4	CSDE1	CTCF	DHCR7	DNMT1	EP400	GTF3C2	HADH	HLTF	HNRNPL	KDM1A	KLF6	LBR	MGLL	MTA3	MYC	NFATC3	NRF1	PCYT2	PLA2G4F	PLPP2	PRDM6	SALL2	SMARCA5	SMC3	TBL1XR1	TBXAS1	XRCC5	ZNF114	ZNF521
ARID2	2	1	2	1	2	1	2	2	2	0	2	1	2	1	1	2	2	2	2	2	1	2	2	2	0	1	0	1	1	0	1	1	2	0	2	0	
BCOR	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	0	1	2	2	2	2	2	2	2	1	2	0	
CBFB	2	0	2	2	2	1	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	
CHD1	2	0	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	
CHD4	2	2	2	2	1	1	2	0	2	1	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	1	2	0	2	0	2	2	2	2	0	0	
CSDE1	0	0	2	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	1	2	2	2	0	2	0	0	2	0	2	1	2	1	2	0	
CTCF	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	
DNMT1	0	0	1	0	0	2	2	2	2	0	2	2	2	0	0	2	2	2	0	0	0	2	2	2	0	2	0	0	0	0	0	1	1	0	2	0	
EP400	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	
GTF3C2	2	0	0	0	0	0	2	2	2	1	2	2	2	0	0	2	2	0	0	0	0	1	1	2	0	0	0	2	1	2	1	1	1	2	0	0	
HLTF	0	0	2	2	2	0	2	2	2	0	2	2	2	1	1	2	2	2	2	0	0	2	2	2	2	0	2	2	0	2	1	1	2	2	2	0	
HNRNPL	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	
KDM1A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
KLF6	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	1	0	2	2	2	0	2	2	2	2	0	
MTA3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	
MYC	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
NFATC3	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	1	0	2	0	2	2	1	2	2	2	0	
NRF1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	
PRDM6	2	0	2	2	0	2	2	1	2	0	2	2	1	2	0	2	2	2	2	1	2	1	2	2	0	1	0	2	2	2	2	2	2	2	0	0	
SALL2	0	0	0	2	0	0	1	0	0	0	2	2	2	0	0	2	2	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	2	0	2	0	
SMARCA5	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
SMC3	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	
TBL1XR1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	
XRCC5	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
ZNF114	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF521	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	
