	ACER2	ACOX3	ADH4	AEBP2	AGPAT3	ATF7	CARF	CBX5	CHAMP1	CHKB	CHPT1	CPN2	CREB1	CYP3A5	CYP4F8	DGKB	DGKD	DGKH	DGKI	EHHADH	EHMT2	EMSY	FADS1	FOSL2	GPAT4	HSD17B12	HTD2	KDSR	KLF6	LPIN2	LYPLA1	NFYA	PAFAH1B1	PCYT1A	PLA2G12A	PRDM4	PTDSS1	RERE	RUNX1	SALL2	SGPL1	SLC27A5	SOAT1	SPTLC3	ZBTB21	ZBTB25	ZNF221	ZNF331	ZNF350	ZNF398	ZNF433	ZNF544	ZNF548	ZNF623	ZNF701	ZNF781	ZNF792	ZSCAN29
AEBP2	0	0	0	0	1	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	2	2	2	0	2	2	0	
ATF7	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
CBX5	0	2	0	0	2	2	0	2	2	0	0	2	2	2	0	0	0	0	2	0	2	2	2	1	2	2	2	0	1	2	2	0	0	0	0	1	0	1	2	0	1	2	0	0	0	0	2	0	0	2	2	2	2	2	2	2	2	2	
CHAMP1	2	0	2	0	2	2	2	2	2	0	1	1	2	2	0	1	2	2	2	1	2	2	2	2	1	2	2	0	2	2	0	0	0	2	2	2	0	2	2	2	2	2	1	0	0	0	2	2	2	2	1	2	2	2	2	2	2	2	
CREB1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
EHMT2	0	2	0	0	2	2	0	2	2	2	1	2	1	2	1	0	2	1	2	1	2	2	2	2	1	2	0	0	2	2	0	2	0	2	1	2	0	2	1	0	1	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	
EMSY	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
FOSL2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
KLF6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	
NFYA	0	0	0	0	1	2	2	2	2	2	1	2	2	0	0	0	0	2	2	0	2	2	2	1	2	2	0	0	2	1	0	2	2	0	0	2	0	2	0	2	0	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	
