	B4GALT6	CERS5	COMT	CPS1	CYP2E1	EBP	HMGCL	KLF6	MCAT	MLX	NFRKB	PGS1	TBL1XR1	THAP11	ZBTB44	ZC3H11A	ZFP41	ZHX2	ZNF205	ZNF248
KLF6	2	2	2	2	0	0	2	2	2	2	2	2	1	2	1	2	2	2	2	2	
MLX	1	2	2	1	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	
NFRKB	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	0	
TBL1XR1	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
THAP11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZBTB44	2	2	2	0	0	2	0	2	2	2	2	2	1	2	1	2	2	1	2	0	
ZC3H11A	0	2	2	0	0	2	0	1	2	2	0	2	1	2	0	2	2	1	2	0	
ZFP41	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	
ZHX2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	
ZNF205	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	2	2	2	2	
ZNF248	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	
