	ACSBG1	ARID3A	ELOVL2	ETV6	GATA3	HMGCS1	ID3	KAT2B	KLF10	LPIN3	NFIA	NFIB	POLR3G	SCD	SCD5	SGMS1	SKIL	SOX6	STAT5A	TCF7L2	THRA	TM7SF2	TRIM22	ZNF501	ZNF704
ARID3A	2	2	2	2	2	1	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	
ETV6	2	2	2	2	1	2	2	2	2	2	2	2	0	1	2	2	2	2	2	1	2	2	0	2	2	
GATA3	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	1	2	2	2	2	0	1	2	
ID3	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	0	2	2	
KAT2B	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	1	0	1	0	0	0	2	0	
KLF10	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	
NFIA	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	2	1	
NFIB	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	1	2	
POLR3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
SKIL	1	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	2	2	2	2	0	
SOX6	1	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	
STAT5A	0	2	2	2	1	2	2	2	2	2	2	1	0	1	2	2	2	2	2	2	2	2	2	2	1	
TCF7L2	1	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	
THRA	0	0	1	0	0	2	1	1	0	1	1	1	0	2	2	1	2	0	2	0	0	0	0	0	0	
TRIM22	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	
ZNF501	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	
ZNF704	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	0	2	1	0	2	0	2	0	
