	ADH4	AKR1C3	ALDH1B1	BCOR	DNMT3B	ELOVL2	ENPP2	GPD2	HSD17B12	MGLL	NCOA2	NCOA6	PHF20	POLR3G	PRDM4	RBBP5	SGMS2	SOX5	SP1	SP7	ZBTB33	ZIK1	ZNF10	ZNF140	ZNF189	ZNF248	ZNF26	ZNF280C	ZNF300	ZNF37A	ZNF423	ZNF433	ZNF491	ZNF507	ZNF585B	ZNF623	ZXDB
BCOR	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	0	0	2	2	2	0	
DNMT3B	1	2	0	0	0	1	2	2	2	2	2	2	2	2	2	2	0	1	2	0	0	2	2	2	2	2	2	0	0	2	0	0	0	2	2	2	0	
NCOA2	0	1	1	0	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	
NCOA6	0	1	1	2	0	0	0	2	2	0	2	2	0	2	2	2	0	1	2	0	2	2	2	2	0	0	2	2	0	0	0	0	0	2	0	2	0	
PHF20	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	0	
POLR3G	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PRDM4	0	0	0	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	0	2	0	0	2	2	2	0	
RBBP5	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	2	0	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	2	0	0	
SOX5	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	1	0	0	2	2	2	1	
SP1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	
SP7	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	0	
ZBTB33	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	1	0	0	2	2	2	0	
ZIK1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	1	0	0	2	1	2	0	
ZNF10	0	0	1	2	0	0	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	2	2	0	2	1	0	0	2	2	2	0	
ZNF140	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	2	2	0	
ZNF189	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	0	0	2	2	2	2	
ZNF248	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	2	2	2	0	0	2	0	0	0	2	0	0	2	2	2	0	
ZNF26	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2	2	1	0	
ZNF280C	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	2	2	2	0	
ZNF300	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	2	2	2	0	0	2	0	0	0	2	0	0	2	2	1	0	
ZNF37A	0	0	0	0	2	0	0	0	0	2	0	2	2	0	2	2	0	1	2	2	0	2	2	2	0	0	2	0	0	0	0	0	0	2	2	2	0	
ZNF423	2	0	1	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	0	2	2	0	0	2	2	2	0	
ZNF433	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	
ZNF491	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	1	0	0	0	0	2	0	0	0	2	2	0	
ZNF507	1	1	0	1	0	0	0	2	1	2	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	
ZNF585B	0	0	0	1	0	0	0	2	0	0	1	2	2	0	1	0	0	1	2	0	0	2	2	2	0	0	2	2	0	0	0	0	0	2	2	0	0	
ZNF623	0	0	2	2	1	0	1	0	1	2	0	2	2	2	1	2	0	1	2	2	2	2	1	2	0	0	2	2	0	0	0	0	0	2	2	2	0	
ZXDB	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	0	
