TBX3	Rel homology transcription factor(PC00252)
TCF12	basic helix-loop-helix transcription factor(PC00055)
ZNF623	
PAX8	
E2F7	general transcription factor(PC00259)
FEZF1	C2H2 zinc finger transcription factor(PC00248)
BRCA1	ubiquitin-protein ligase(PC00234)
RXRB	C4 zinc finger nuclear receptor(PC00169)
PBX2	homeodomain transcription factor(PC00119)
FOS	basic leucine zipper transcription factor(PC00056)
FOSL2	basic leucine zipper transcription factor(PC00056)
ZNF521	C2H2 zinc finger transcription factor(PC00248)
SMAD5	DNA-binding transcription factor(PC00218)
MXD3	basic helix-loop-helix transcription factor(PC00055)
HES1	basic helix-loop-helix transcription factor(PC00055)
LEF1	DNA-binding transcription factor(PC00218)
MCM5	DNA metabolism protein(PC00009)
DACH1	winged helix/forkhead transcription factor(PC00246)
BCL11B	C2H2 zinc finger transcription factor(PC00248)
PRDM6	C2H2 zinc finger transcription factor(PC00248)
EHMT2	
EBF1	DNA-binding transcription factor(PC00218)
OSR2	zinc finger transcription factor(PC00244)
NFIA	DNA-binding transcription factor(PC00218)
GATAD2B	DNA-binding transcription factor(PC00218)
SOX13	
NR2F2	C4 zinc finger nuclear receptor(PC00169)
TEAD1	DNA-binding transcription factor(PC00218)
XRCC3	DNA metabolism protein(PC00009)
ZIC2	C2H2 zinc finger transcription factor(PC00248)
GATA3	DNA-binding transcription factor(PC00218)
REST	C2H2 zinc finger transcription factor(PC00248)
TEAD3	DNA-binding transcription factor(PC00218)
MYRF	
AFF1	DNA-binding transcription factor(PC00218)
TCF7L2	DNA-binding transcription factor(PC00218)
