pathway	all_cluster	TGcluster1	TGcluster2	TGcluster3	TGcluster4	TGcluster5	TGcluster6	TGcluster7
hsa00010	6	0	4	0	1	0	0	1
hsa00040	3	0	1	0	1	0	1	0
hsa00051	1	0	0	0	1	0	0	0
hsa00052	1	0	0	0	1	0	0	0
hsa00053	6	0	4	0	0	0	1	1
hsa00061	8	0	1	1	3	1	0	2
hsa00062	5	0	2	1	1	0	1	0
hsa00071	13	0	4	0	3	1	1	4
hsa00100	10	0	6	0	1	0	2	1
hsa00120	4	0	0	1	1	0	1	1
hsa00140	12	0	1	3	1	1	3	3
hsa00220	1	0	1	0	0	0	0	0
hsa00232	1	0	0	0	0	0	1	0
hsa00250	1	0	1	0	0	0	0	0
hsa00270	1	0	1	0	0	0	0	0
hsa00280	7	0	3	0	1	1	1	1
hsa00310	8	0	3	2	1	0	1	1
hsa00330	4	0	3	0	0	0	0	1
hsa00340	4	0	3	0	0	0	0	1
hsa00350	3	0	0	1	1	1	0	0
hsa00380	8	0	4	0	1	0	2	1
hsa00410	5	0	3	0	1	0	0	1
hsa00440	2	0	1	0	1	0	0	0
hsa00480	1	0	0	1	0	0	0	0
hsa00510	1	1	0	0	0	0	0	0
hsa00511	3	0	2	0	0	0	1	0
hsa00561	18	1	6	4	3	3	0	1
hsa00564	29	1	5	8	5	3	5	2
hsa00565	8	1	3	2	0	1	0	1
hsa00590	11	0	2	3	0	0	1	5
hsa00591	3	0	1	1	0	0	1	0
hsa00592	2	0	1	1	0	0	0	0
hsa00600	17	2	7	0	5	1	1	1
hsa00620	7	0	4	1	1	0	0	1
hsa00640	2	0	0	1	1	0	0	0
hsa00650	3	0	0	0	1	0	2	0
hsa00770	2	0	2	0	0	0	0	0
hsa00780	1	0	0	0	1	0	0	0
hsa00790	2	0	0	0	1	0	0	1
hsa00830	4	0	0	0	1	0	2	1
hsa00860	1	0	0	0	0	0	1	0
hsa00910	1	0	1	0	0	0	0	0
hsa00980	6	0	1	0	1	0	2	2
hsa00982	4	0	0	0	1	0	2	1
hsa00983	1	0	0	0	0	0	1	0
hsa01040	4	1	3	0	0	0	0	0
hsa01100	97	4	30	15	17	8	10	13
hsa01200	2	0	1	0	1	0	0	0
hsa01212	16	1	3	2	4	2	1	3
hsa01230	1	0	1	0	0	0	0	0
hsa01240	5	0	3	0	1	0	1	0
hsa01522	3	0	0	1	0	1	1	0
hsa01524	1	0	0	1	0	0	0	0
hsa03015	1	0	0	0	1	0	0	0
hsa03022	1	0	0	0	0	1	0	0
hsa03030	2	0	0	1	0	0	0	1
hsa03040	1	0	0	0	1	0	0	0
hsa03320	8	1	1	1	2	0	0	3
hsa03440	2	0	0	2	0	0	0	0
hsa03460	2	0	0	2	0	0	0	0
hsa04010	5	0	0	1	1	1	1	1
hsa04012	3	0	0	0	1	1	1	0
hsa04014	5	0	1	2	0	0	1	1
hsa04020	1	1	0	0	0	0	0	0
hsa04024	3	0	0	2	0	1	0	0
hsa04070	3	0	1	1	0	1	0	0
hsa04071	9	1	2	1	4	0	0	1
hsa04072	7	2	1	3	0	1	0	0
hsa04080	1	0	1	0	0	0	0	0
hsa04110	4	0	1	1	1	0	0	1
hsa04120	1	0	0	1	0	0	0	0
hsa04137	3	0	0	0	0	1	1	1
hsa04142	6	0	3	1	1	0	1	0
hsa04144	2	0	1	1	0	0	0	0
