ABCF1 hsa:23
ABR hsa:29
ADAMTS3 hsa:9508
ADCY2 hsa:108
ADK hsa:132
ALDOC hsa:230
ALG1L2 hsa:644974
AMOT hsa:154796
ANLN hsa:54443
ANXA1 hsa:301
ANXA5 hsa:308
AP2A2 hsa:161
APBA2 hsa:321
APCDD1 hsa:147495
ARHGAP11A hsa:9824
ASIC4 hsa:55515
ATAT1 hsa:79969
ATF6B hsa:1388
ATIC hsa:471
ATP6V1G2 hsa:534
AURKA hsa:6790
AURKB hsa:9212
B2M hsa:567
BAG6 hsa:7917
BCL2L12 hsa:83596
BIRC5 hsa:332
BORA hsa:79866
BORCS7 hsa:119032
BRD2 hsa:6046
BUB1 hsa:699
BUB1B hsa:701
C1orf194 hsa:127003
C4A hsa:720
CA12 hsa:771
CACNA1C hsa:775
CALD1 hsa:800
CALY hsa:50632
CARS hsa:833
CAST hsa:10849
CAST hsa:26059
CAST hsa:831
CBFA2T3 hsa:863
CBLN1 hsa:869
CBSL hsa:102724560
CBSL hsa:875
CCDC169 hsa:728591
CCK hsa:8767
CCK hsa:885
CCL2 hsa:6347
CCN2 hsa:1490
CCNA2 hsa:890
CCNB1 hsa:891
CCNB2 hsa:9133
CCND1 hsa:595
CD36 hsa:948
CDC20 hsa:991
CDCA7 hsa:83879
CDCA7L hsa:55536
CDK1 hsa:983
CDK2 hsa:1017
CDK6 hsa:1021
CDKN3 hsa:1033
CENPF hsa:1063
CENPH hsa:64946
CENPN hsa:55839
CENPS-CORT hsa:100526739
CENPU hsa:79682
CEP72 hsa:55722
CERCAM hsa:51148
CFC1 hsa:55997
CKS1B hsa:1163
CKS2 hsa:1164
CLEC2D hsa:29121
CLIC1 hsa:1192
CMTM3 hsa:123920
CMTM6 hsa:54918
COL11A1 hsa:1301
COL11A2 hsa:1302
COL1A1 hsa:1277
COL1A2 hsa:1278
COL23A1 hsa:91522
COL2A1 hsa:1280
COL3A1 hsa:1281
COL4A1 hsa:1282
COL4A5 hsa:1287
COL4A6 hsa:1288
COL9A2 hsa:1298
CPEB1 hsa:64506
CPXM2 hsa:119587
CRTAP hsa:10491
CRYM hsa:1428
CSKMT hsa:751071
CSNK2B hsa:1460
CSRP2 hsa:1466
CTSC hsa:1075
CTSF hsa:8722
DAAM2 hsa:23500
DAXX hsa:1616
DBF4 hsa:10926
DCN hsa:1634
DDAH2 hsa:23564
DDC hsa:1644
