AASS hsa:10157 
ABCC2 hsa:1244 
ABCC6 hsa:368 
ABHD14B hsa:84836 
ABHD16A hsa:7920 
ACACA hsa:31 
ACADVL hsa:37 
ACOT7 hsa:11332 
ACTR1A hsa:10121 
ADAM15 hsa:8751 
ADAMTS6 hsa:11174 
ADAMTS9 hsa:56999 
ADD3 hsa:120 
ADGRV1 hsa:84059 
ADK hsa:132 
ADORA2B hsa:136 
AFF1 hsa:4299 
AFG3L2 hsa:10939 
AFMID hsa:125061 
AGA hsa:175 
AGAP9 hsa:642517 
AIG1 hsa:51390 
AIP hsa:54998 
AIP hsa:9049 
AKAP17A hsa:8227 
AKNAD1 hsa:254268 
AKR1C2 hsa:1646 
ALKAL2 hsa:285016 
AMBRA1 hsa:55626 
AMH hsa:268 
ANAPC2 hsa:29882 
ANKLE2 hsa:23141 
ANKRD45 hsa:339416 
ANLN hsa:54443 
ANO6 hsa:196527 
ANPEP hsa:290 
AP3B1 hsa:8546 
APBA2 hsa:321 
APEX2 hsa:27301 
APOBEC3C hsa:27350 
APOM hsa:55937 
ARAP1 hsa:116985 
ARF5 hsa:381 
ARFIP1 hsa:27236 
ARHGAP11A hsa:9824 
ARHGAP28 hsa:79822 
ARHGAP9 hsa:64333 
ARHGEF19 hsa:128272 
ARHGEF40 hsa:55701 
ARID3B hsa:10620 
ARL13B hsa:200894 
ARL3 hsa:403 
ARMT1 hsa:79624 
ARPC2 hsa:10109 
ARPC4 hsa:100526693 
ARPC4 hsa:10093 
ASB13 hsa:79754 
ASF1A hsa:25842 
ASPSCR1 hsa:79058 
ASXL1 hsa:171023 
ATAD2 hsa:29028 
ATAD3A hsa:55210 
ATF7IP2 hsa:80063 
ATG3 hsa:64422 
ATOH7 hsa:220202 
ATP11C hsa:286410 
ATP13A1 hsa:57130 
ATP1A2 hsa:477 
ATP5MD hsa:84833 
AVPR1A hsa:552 
AXL hsa:558 
B3GNT5 hsa:84002 
B4GALT4 hsa:8702 
BABAM1 hsa:29086 
BAG6 hsa:7917 
BARHL2 hsa:343472 
BAX hsa:581 
BAZ1A hsa:11177 
BCKDHB hsa:594 
BCL2L1 hsa:598 
BDKRB1 hsa:623 
BMPR1A hsa:657 
BMPR1B hsa:658 
BRAT1 hsa:221927 
BRCA1 hsa:672 
BRD2 hsa:6046 
BRIX1 hsa:55299 
C11orf71 hsa:54494 
C12orf10 hsa:60314 
C18orf21 hsa:83608 
C18orf54 hsa:162681 
C19orf57 hsa:79173 
C1orf226 hsa:400793 
C1QTNF1 hsa:114897 
C1QTNF12 hsa:388581 
C21orf91 hsa:54149 
C2CD6 hsa:151254 
C3orf20 hsa:84077 
C5 hsa:727 
C5orf34 hsa:375444 
C6 hsa:5688 
C6 hsa:729 
C6orf118 hsa:168090 
C7 hsa:3627 
C7 hsa:730 
CABP7 hsa:164633 
CACHD1 hsa:57685 
CACNA2D4 hsa:93589 
CALD1 hsa:800 
CALM1 hsa:801 
CALM3 hsa:808 
CALML4 hsa:91860 
CAPNS1 hsa:826 
CAPS hsa:828 
CAPS hsa:8618 
CAPZB hsa:832 
CBSL hsa:102724560 
CBSL hsa:875 
CCDC102B hsa:79839 
CCDC134 hsa:79879 
CCDC189 hsa:90835 
CCDC25 hsa:55246 
CCDC28A hsa:25901 
CCDC47 hsa:57003 
CCDC58 hsa:131076 
CCDC74B hsa:91409 
CCHCR1 hsa:54535 
CCNJ hsa:54619 
CCS hsa:9973 
CD151 hsa:977 
CD59 hsa:966 
CDC14A hsa:8556 
CDC27 hsa:996 
CDC7 hsa:8317 
CDH11 hsa:1009 
CDH12 hsa:1010 
CDH15 hsa:1013 
CDH24 hsa:1016 
CDH24 hsa:64403 
