AAAS hsa:8086
AARD hsa:441376
ABCA4 hsa:24
ABCB1 hsa:5243
ABCC1 hsa:4363
ABCC12 hsa:94160
ABCC3 hsa:8714
ABCF1 hsa:23
ABHD12B hsa:145447
ABHD16A hsa:7920
ABO hsa:28
ACAD11 hsa:84129
ACAD8 hsa:27034
ACAN hsa:176
ACSF2 hsa:80221
ADAM12 hsa:8038
ADAMTS4 hsa:9507
ADGRF2 hsa:222611
ADH1A hsa:124
ADORA2B hsa:136
AFAP1L2 hsa:84632
AFF3 hsa:3899
AFF4 hsa:27125
AFG1L hsa:246269
AGAP6 hsa:414189
AGER hsa:177
AGO3 hsa:192669
AGO4 hsa:192670
AKAP1 hsa:8165
AKAP4 hsa:8852
AKR1B1 hsa:231
ALDH1A2 hsa:8854
ALDOC hsa:230
ALG11 hsa:440138
ALK hsa:238
ALMS1 hsa:7840
ALPK1 hsa:80216
ALPK3 hsa:57538
ANAPC15 hsa:25906
ANGPT4 hsa:51378
ANGPTL4 hsa:51129
ANKK1 hsa:255239
ANKRD28 hsa:23243
ANKRD34B hsa:340120
ANKRD65 hsa:441869
ANKZF1 hsa:55139
ANO4 hsa:121601
ANXA2R hsa:389289
AOC3 hsa:8639
AP1S3 hsa:130340
AP5B1 hsa:91056
APIP hsa:51074
APOA4 hsa:337
AREG hsa:374
ARFGEF1 hsa:10565
ARFGEF3 hsa:57221
ARHGAP26 hsa:23092
ARHGAP29 hsa:9411
ARHGEF25 hsa:115557
ARL10 hsa:285598
ARRB2 hsa:409
ARSB hsa:411
ARSI hsa:340075
ART4 hsa:420
ASAP1 hsa:50807
ATAT1 hsa:79969
ATF3 hsa:467
ATF6B hsa:1388
ATG16L2 hsa:89849
ATP10B hsa:23120
ATP11A hsa:23250
ATP13A5 hsa:344905
ATP2A2 hsa:488
ATP4A hsa:495
ATP5A1 hsa:498
ATP6V0A2 hsa:23545
ATP6V1B1 hsa:525
ATP7B hsa:540
ATP8 hsa:4509
ATRN hsa:8455
ATXN1 hsa:6310
AVPR1A hsa:552
AZIN2 hsa:113451
B4GALT5 hsa:9334
BABAM2 hsa:9577
BAG6 hsa:7917
BAMBI hsa:25805
BAZ2A hsa:11176
BBS4 hsa:585
BEND3 hsa:57673
BEND5 hsa:79656
BEST3 hsa:144453
BHLHE22 hsa:27319
BHLHE41 hsa:79365
BHMT2 hsa:23743
BNIPL hsa:149428
BOD1 hsa:91272
BRI3BP hsa:140707
C10orf88 hsa:80007
C11orf21 hsa:29125
C11orf87 hsa:399947
C12orf56 hsa:115749
C14orf93 hsa:60686
C17orf107 hsa:100130311
C17orf49 hsa:124944
C1QTNF9B hsa:387911
C1orf116 hsa:79098
C1orf123 hsa:54987
C1orf162 hsa:128346
C1orf228 hsa:339541
C1orf54 hsa:79630
C2orf40 hsa:84417
C2orf74 hsa:339804
C3 hsa:718
C4orf36 hsa:132989
C5 hsa:727
C5orf63 hsa:401207
C6orf136 hsa:221545
C7 hsa:3627
C7 hsa:730
C9orf47 hsa:286223
CA3 hsa:761
CABP7 hsa:164633
CABS1 hsa:85438
CACNA2D4 hsa:93589
CADM2 hsa:253559
CAPN13 hsa:92291
CAPN9 hsa:10753
CARTPT hsa:9607
CASP1 hsa:834
CATSPERB hsa:79820
CBL hsa:867
CBLN2 hsa:147381
CBWD2 hsa:150472
CBWD5 hsa:220869
CCAR1 hsa:55749
CCDC110 hsa:256309
CCDC144A hsa:9720
CCDC167 hsa:154467
CCDC17 hsa:149483
CCDC68 hsa:80323
CCHCR1 hsa:54535
CCL25 hsa:6370
CCNDBP1 hsa:23582
CCNI2 hsa:645121
CCNL1 hsa:4171
CCNL1 hsa:57018
CCR7 hsa:1236
CCS hsa:9973
CCT6B hsa:10693
CCZ1B hsa:221960
CD163L1 hsa:283316
CD226 hsa:10666
CD300LB hsa:124599
CD34 hsa:947
CD37 hsa:951
CD8B hsa:926
CDC26 hsa:246184
CDC42BPG hsa:55561
CDH17 hsa:1015
CDH4 hsa:1002
CDH5 hsa:1003
CDK3 hsa:1018
CDK5RAP1 hsa:51654
CDK5RAP3 hsa:80279
CDK7 hsa:1022
CDON hsa:50937
CEACAM1 hsa:634
CENPV hsa:201161
CEP72 hsa:55722
CEP95 hsa:90799
CERS5 hsa:253782
CERS5 hsa:91012
CES5A hsa:221223
CFAP69 hsa:79846
CFB hsa:629
CFDP1 hsa:10428
CFI hsa:3426
CFLAR hsa:8837
CHD8 hsa:57680
CHKB hsa:1120
CHN1 hsa:1123
CHN1 hsa:1959
CHRNA1 hsa:1134
CHRNA9 hsa:55584
CHSY3 hsa:337876
CIART hsa:148523
CLCA4 hsa:22802
CLCN3 hsa:1182
CLDN6 hsa:9074
CLEC18B hsa:497190
CLEC18C hsa:283971
