ABCC4 hsa:10257
ABHD12B hsa:145447
ABI2 hsa:10152
ACP6 hsa:51205
ACSM3 hsa:6296
ACSS3 hsa:79611
ADAMTS15 hsa:170689
ADAT1 hsa:23536
ADH4 hsa:127
ADH4 hsa:131
AFAP1L1 hsa:134265
AFF4 hsa:27125
AIM2 hsa:9447
AKR1C3 hsa:8644
AKR1E2 hsa:83592
ALDH1B1 hsa:219
ALPK1 hsa:80216
AMPD3 hsa:272
ANAPC1 hsa:64682
ANKRD18A hsa:253650
ANKRD27 hsa:84079
ANKRD31 hsa:256006
ANKRD57 hsa:65124
ANO3 hsa:63982
AP3M1 hsa:26985
APTX hsa:54840
ARHGAP18 hsa:93663
ARHGEF12 hsa:23365
ARRDC3 hsa:57561
ARTN hsa:9048
ASAP1 hsa:50807
ASCC1 hsa:51008
ASCC3 hsa:10973
ATE1 hsa:11101
ATF7IP2 hsa:80063
ATG14 hsa:22863
AUTS2 hsa:26053
AVL9 hsa:23080
BAI3 hsa:577
BCL2L11 hsa:10018
BCL9 hsa:607
BCOR hsa:54880
BHLHE41 hsa:79365
BMP2K hsa:55589
BRAP hsa:221477
BRAP hsa:8315
BRCC3 hsa:55789
BRCC3 hsa:79184
BRI3BP hsa:140707
BTBD11 hsa:121551
C10orf137 hsa:26098
C12orf45 hsa:121053
C12orf49 hsa:79794
C17orf104 hsa:284071
C17orf57 hsa:124989
C19orf73 hsa:55150
C1orf226 hsa:400793
C20orf123 hsa:128506
C20orf94 hsa:128710
C2orf3 hsa:6936
C2orf43 hsa:60526
C4orf49 hsa:84709
C9orf125 hsa:84302
CA2 hsa:760
CACNA1C hsa:775
CACNA2D3 hsa:55799
CAMK1D hsa:57118
CAMK2D hsa:817
CAMKMT hsa:79823
CAND1 hsa:55832
CARD8 hsa:22900
CBLB hsa:326625
CBLB hsa:868
CCDC102B hsa:79839
CDC27 hsa:996
CDC40 hsa:51362
CDC7 hsa:8317
CDH20 hsa:28316
CDH20 hsa:8641
CDK8 hsa:1024
CHD9 hsa:80205
CNO hsa:55330
CNOT6 hsa:57472
CNTNAP3 hsa:79937
COL19A1 hsa:1310
COX10 hsa:1352
CPA5 hsa:93979
CSNK1G1 hsa:53944
CSNK2A1P hsa:283106
CTSC hsa:1075
CTSO hsa:1513
CTSO hsa:1519
CXCR7 hsa:57007
CYFIP2 hsa:26999
DCLK1 hsa:9201
DCTN5 hsa:84516
DDX52 hsa:11056
DDX60L hsa:91351
DENND5B hsa:160518
DEPDC4 hsa:120863
DHX33 hsa:56919
DKK2 hsa:27123
DMXL2 hsa:23312
DNAH14 hsa:127602
DNAJC18 hsa:202052
DNM1L hsa:10059
DNMT3B hsa:1789
DOCK4 hsa:9732
DOPEY1 hsa:23033
DOPEY2 hsa:9980
EAF2 hsa:55840
EAF2 hsa:55929
ECD hsa:11319
ECD hsa:7979
ECHDC3 hsa:79746
EIF5A2 hsa:56648
ELOVL2 hsa:54898
EMB hsa:133418
EMB hsa:7514
ENC1 hsa:8507
ENPP2 hsa:5168
ENPP5 hsa:59084
ENTPD1 hsa:953
ENTPD8 hsa:377841
EPG5 hsa:57724
EPS8 hsa:2059
ERCC6 hsa:2074
EXOG hsa:9941
FAM126A hsa:84668
FAM13A hsa:10144
FAM178A hsa:55719
FAM184B hsa:27146
FAM190B hsa:54462
FAM55C hsa:91775
FAM71F1 hsa:84691
FAM82B hsa:51115
FAM86B2 hsa:653333
FAM89A hsa:375061
FASTKD1 hsa:79675
FAT3 hsa:120114
FBP1 hsa:2203
FBXO43 hsa:286151
FDXACB1 hsa:91893
FECH hsa:2235
FGD4 hsa:121512
FLJ44635 hsa:392490
FOXJ3 hsa:22887
FOXN2 hsa:3344
FOXO3B hsa:2310
FSIP2 hsa:401024
FYN hsa:2534
G3BP1 hsa:10146
GARNL3 hsa:84253
GBE1 hsa:2632
GCNT2 hsa:2651
GIT2 hsa:9815
GLDN hsa:342035
GLI3 hsa:2737
GPC6 hsa:10082
GPD2 hsa:2820
GPR126 hsa:57211
GPR137B hsa:7107
GPR158 hsa:57512
GPR27 hsa:2850
GPSM2 hsa:29899
GREB1 hsa:9687
GREB1L hsa:80000
GTF2E1 hsa:2960
GTF2H2 hsa:2966
GTF2H3 hsa:2967
GUF1 hsa:60558
HFE hsa:3077
HIP1 hsa:3092
HIST1H2AK hsa:8330
HIST1H2BK hsa:85236
HIST1H3J hsa:8356
HIVEP2 hsa:3097
HS3ST6 hsa:64711
HSD17B12 hsa:51144
HSPA4L hsa:22824
HTATIP2 hsa:10553
ICK hsa:22858
IDH1 hsa:3417
IDI2 hsa:91734
IDS hsa:3423
IFI16 hsa:3428
IFI44 hsa:10561
IFI44L hsa:10964
IGFBPL1 hsa:347252
IL17RB hsa:55540
IMPG1 hsa:3617
INSM1 hsa:3642
INTS6 hsa:26512
IP6K3 hsa:117283
IQCB1 hsa:9657
ITGA2 hsa:3673
