KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa04144	Endocytosis	0.0011221412353024582	0.20871826976625724	252	16
path:hsa04114	Oocyte meiosis	0.0075365787240306605	0.557112026961443	129	9
path:hsa04540	Gap junction	0.008985677854216823	0.557112026961443	88	7
path:hsa04145	Phagosome	0.020472718968835	0.9519814320508274	152	9
path:hsa00051	Fructose and mannose metabolism	0.5921566471509566	0.9892921620867674	33	1
path:hsa00052	Galactose metabolism	0.5693229618066087	0.9892921620867674	31	1
path:hsa00062	Fatty acid elongation	0.5197711498834563	0.9892921620867674	27	1
path:hsa00071	Fatty acid degradation	0.6894718729094472	0.9892921620867674	43	1
path:hsa00100	Steroid biosynthesis	0.4190313848099516	0.9892921620867674	20	1
path:hsa00140	Steroid hormone biosynthesis	0.22313822722058488	0.9892921620867674	61	3
path:hsa00190	Oxidative phosphorylation	0.48437067074482903	0.9892921620867674	134	4
path:hsa00230	Purine metabolism	0.6812659403375376	0.9892921620867674	130	3
path:hsa00240	Pyrimidine metabolism	0.7822596007233493	0.9892921620867674	56	1
path:hsa00250	Alanine, aspartate and glutamate metabolism	0.6342733720659559	0.9892921620867674	37	1
path:hsa00260	Glycine, serine and threonine metabolism	0.6629950095971177	0.9892921620867674	40	1
path:hsa00270	Cysteine and methionine metabolism	0.38842816890947884	0.9892921620867674	50	2
path:hsa00280	Valine, leucine and isoleucine degradation	0.36920621702236767	0.9892921620867674	48	2
path:hsa00310	Lysine degradation	0.8201913695934306	0.9892921620867674	63	1
path:hsa00330	Arginine and proline metabolism	0.3979433016555808	0.9892921620867674	51	2
path:hsa00350	Tyrosine metabolism	0.6241683911349833	0.9892921620867674	36	1
path:hsa00410	beta-Alanine metabolism	0.5693229618066087	0.9892921620867674	31	1
path:hsa00480	Glutathione metabolism	0.4534933076285781	0.9892921620867674	57	2
path:hsa00510	N-Glycan biosynthesis	0.38842816890947884	0.9892921620867674	50	2
path:hsa00513	Various types of N-glycan biosynthesis	0.6536795822720278	0.9892921620867674	39	1
path:hsa00514	Other types of O-glycan biosynthesis	0.35950686119281755	0.9892921620867674	47	2
path:hsa00515	Mannose type O-glycan biosynthesis	0.4645511835431172	0.9892921620867674	23	1
path:hsa00533	Glycosaminoglycan biosynthesis	0.3161246593668389	0.9892921620867674	14	1
path:hsa00562	Inositol phosphate metabolism	0.1309843612170587	0.9892921620867674	73	4
path:hsa00565	Ether lipid metabolism	0.7363761482847584	0.9892921620867674	49	1
