InputTerm,Symbol,GHIDs,GHtype,Score,Sources,TSSdistance,NumGenesAway,TFBSs,OtherGeneTargets,Chromosome,Start,End
AFF1,AFF1,GH04J086933,Promoter/Enhancer,255.4913,Ensembl||EPDnew||ENCODE||CraniofacialAtlas||dbSUPER,2808,4,BCLAF1||ZNF207||NCOR1||MYC||IKZF1||ZNF600||ZNF580||POLR2A||CEBPA||ZNF10||NFIC||ZBTB10||YY1||MXD4||NONO||BCL11A||REST||CTCF||CEBPB||ZNF592||SMAD5||SIN3A||TRIM22||HES1||BHLHE40||FEZF1||ZNF639||MBD2||TBP||ZNF341||MNT||NR2C1||MAX||ARNT||KMT2B||NFATC3||TAF9B||THAP11||FOXA2||KLF9||CTBP1||SIN3B||HCFC1||ZNF610||NBN||SP2||RXRA||SMAD4||SAP130||TARDBP||RFX5||ETV4||MIER3||RUNX1||ELF1||RARA||TRIM25||DMAP1||ZNF316||GABPB1||TEAD3||ZSCAN9||EBF1||THRB||CBFB||TCF7L2||RBM22||KAT7||SMARCA5||JUND||FOSL2||SAFB||SKIL||CREM||E4F1||MYNN||TAL1||FOXP1||ASH2L||PRDM6||TAF1||DRAP1||PRDM10||ZNF205||MLLT1||SOX5||SUPT5H||SPI1||ZNF189||ETV1||BATF||HDAC2||HNF4A||EP400||ZNF24||HMG20A||MAZ||SCRT1||MXD3||ZNF384||FOXK2||NRF1||STAT5A||EGR1||ZBTB33||RBPJ||DIDO1||GATAD1||RB1||ZNF48||NFATC1||RAD21||ZNF362||MIER2||ZNF664||NR2F1||NFYC||ZNF792||NR2F6||MTA3||RFX1||ATF2||JUNB||GATA4||BACH1||NCOA3||GLIS1||ELF3||IKZF5||ZBTB40||RXRB||ZNF398||SP7||ZNF18||CEBPG||KLF1||TCF12||L3MBTL2||SP1||MEIS2||ZMYM3||HDAC1||NKRF||ZBED1||DPF2||ZNF217||ARID4B||ARID1B||PKNOX1||ZFX||ZNF561||KDM3A||GMEB1||ZBTB7A||KLF10||KLF5||NCOA6||ARID3A||PPARG||POU5F1||SMARCE1||NFIL3||PHF21A||SP3||ZBTB8A||HLF||ZXDB||ATF1||TBL1XR1||ZEB2||HNRNPL||KDM1A||NANOG||ATF3||EGR2||ZNF629||MIXL1||ZNF692||GATAD2A||ZNF660||SP5||NFKBIZ||CBFA2T2||OSR2||LEF1||GTF2F1||ZNF687||TCF7||XRCC5||FOS||CDC5L||IRF2||PATZ1||RNF2||IKZF2||MTA1||MTA2||MZF1||ZBTB17||SOX6||ZKSCAN8||KAT8||ZNF512||GLIS2||EED||NFRKB||TFDP1||LARP7||HNF4G||SOX13||PHF8||ZNF143||CHAMP1||RUNX3||KLF8||GABPA||BCOR||ATF7||ZNF501||RCOR2||ZSCAN29||POLR2B||GATAD2B||CBX3||EP300||ZGPAT||FOXA3||ZBTB11||PAX8||RBFOX2||RFXANK||RELB||NR2F2||CREB1||TFE3||ZFHX2||BRD9||ZBTB20||ZNF121||AFF1||ZBTB25||KLF17||HMBOX1||PRDM1||CBFA2T3||TEAD1||ZNF335||HIC1||PML||SCRT2||ZBTB44||KLF6||ZBTB2||SMARCA4||MIER1||DNMT3B||MGA||HDGF||ZBTB26||ZNF444||ERF,AFF1-AS1||C4orf36||KLHL8||MAPK10||SLC10A6||TECRP1||ENSG00000251411||ENSG00000284968||ENSG00000285458||HSALNG0035673,04,86933400,86941427
AFF1,AFF1,GH04J086931,Enhancer,0.6672701,Ensembl,-3205,0,,AFF1-AS1||C4orf36||LOC260422||ENSG00000251411||ENSG00000284968||ENSG00000285458,04,86931201,86931600
AFF1,AFF1,GH04J086941,Enhancer,5.163327,ENCODE||dbSUPER,7902,4,MYC||JUND||ZNF592||NFIC||NONO||CEBPB||FEZF1||ZNF639||MNT||MAX||EP300||RFX5||TAL1||TBP||FOSL2||FOXP1||PRDM6||ATF1||STAT5A||SMARCA4||HNF4A||EP400||ZNF384||TCF12||TEAD4||CSDE1||BHLHE40||ZBTB40||SP7||SREBF1||MEIS2||ZMYM3||HDAC1||JUN||TRIM28||DPF2||ARID1B||JUNB||GMEB1||ZNF366||SMARCE1||HLF||ZXDB||PKNOX1||ZEB2||KDM1A||ATF3||ZSCAN21||ZNF629||DACH1||CBFA2T2||OSR2||FOS||RNF2||TRIM24||SOX6||CHAMP1||ATF7||NCOR1||TSHZ1||GATAD2B||CBX3||MEF2D||ZNF121||HMBOX1||CBFA2T3||ZNF335||HIC1||PML||MTA1||HDAC2,KLHL8||TECRP1||ENSG00000251411||ENSG00000284968||ENSG00000285458||HSALNG0035673,04,86941708,86943308
AFF1,AFF1,GH04J086944,Promoter/Enhancer,0.4428639,Ensembl||dbSUPER,9595,4,FEZF1||ZNF2||ZNF24||ZBTB33||GLIS1||PRDM4||ZNF384||L3MBTL2||MLLT1||ZEB2||ZBTB6||ZNF501||WT1,KLHL8||TECRP1||ENSG00000284968||ENSG00000285458||HSALNG0035673,04,86944000,86944401
AFF1,AFF1,GH04J086917,Promoter/Enhancer,17.68324,Ensembl||FANTOM5||EPDnew||ENCODE||dbSUPER,-12105,0,BCLAF1||ZNF207||ZNF654||ZNF600||NCOR1||IKZF1||CEBPA||ATF3||BRCA1||NFIC||YY1||CTCF||CEBPB||REST||KLF11||DEK||TRIM22||ZNF639||HOMEZ||MAX||IRF2||EP300||THAP11||FOXA2||MAFF||SMAD4||SAP130||RAD21||IRF4||RFX5||SMC3||TAL1||MIER3||RARA||STAT3||TEAD3||NUFIP1||ZSCAN9||TBP||TCF7L2||SMARCA5||USF2||FOSL2||JUND||MYNN||MAFK||PRDM6||BCL6||PRDM10||ZNF205||STAT5A||THRAP3||BHLHE40||MLLT1||ZBTB40||SOX5||SPI1||FOXM1||INSM2||HDAC2||HMG20A||ZNF384||ZC3H8||NRF1||RB1||TCF12||MTA2||HDGF||NFYC||DPF2||ZNF792||NFE2L2||TEAD4||ZNF143||TFAP4||HNF4A||ZBTB21||ELF3||IKZF5||RXRB||ZNF398||SP7||CEBPG||POLR2A||NFIA||ZMYM3||JUN||ARID1B||ARID4B||NFATC3||ZNF561||GMEB1||ARID3A||CREB1||ZNF580||ZNF644||ZNF366||SMARCE1||NFIL3||SP3||HLF||TARDBP||ZXDB||TBL1XR1||ZEB2||MNT||ARID2||KDM1A||ZNF629||TGIF2||ZNF24||MIXL1||GATAD2A||ZNF660||DACH1||CBFA2T2||OSR2||KLF16||TCF7||XRCC5||FOS||PATZ1||RNF2||IKZF2||TRIM24||MZF1||ZBTB17||ZNF680||SOX6||ZNF558||KAT8||ZKSCAN8||ZNF512||EED||RXRA||YBX3||NBN||RUNX3||NR4A1||KLF8||BCOR||ATF7||ZNF501||FOXA3||ZGPAT||RELB||CC2D1A||ZNF121||AFF1||ZBTB25||KLF17||SP1||CBFA2T3||TEAD1||ZNF335||PML||MTA1||KLF6||ZSCAN5C||SMARCA4||PHB2||ZNF444||ERF,AFF1-AS1||C4orf36||HSD17B11||HSD17B13||PTPN13||LOC260422||ENSG00000251411||ENSG00000284968||ENSG00000285458,04,86915402,86929600
AFF1,AFF1,GH04J086945,Enhancer,0.4108211,dbSUPER,10446,4,ZNF600||ZIC2||FEZF1||ZNF2||ZNF24||ZBTB33||ZNF362||GLIS1||PRDM4||ZBTB12||L3MBTL2||MLLT1||ZEB2||ZNF629||PRDM10||ZNF501||ZNF423||WT1,KLHL8||TECRP1||ENSG00000284968||ENSG00000285458||HSALNG0035673,04,86944593,86945510
AFF1,AFF1,GH04J086946,Enhancer,6.632483,ENCODE||dbSUPER,13173,4,ZNF316||SCRT1||MAFG||ZNF664||MAFF||ZNF3||PRDM4||SP1||POU5F1||NANOG||RUNX3||HMBOX1||PRDM1||SCRT2||EMSY,KLHL8||TECRP1||ENSG00000251411||ENSG00000284968||ENSG00000285458||HSALNG0035673,04,86946554,86949004
AFF1,AFF1,GH04J086950,Enhancer,0.3721573,Ensembl||ENCODE||CraniofacialAtlas||dbSUPER,16594,5,HNF4A||ZNF384||ATF4||NR2F6||NANOG||EP300||CBFA2T3||NR2F1,KLHL8||TECRP1||ENSG00000285458||HSALNG0035673||piR-60152,04,86950601,86951799
AFF1,AFF1,GH04J086955,Enhancer,22.33625,dbSUPER,21520,5,FOXA2||JUND||ZNF146||SMARCE1||ATF3||FOS||PRDM1,C4orf36||KLHL8||TECRP1||ENSG00000251411||ENSG00000285458||HSALNG0035673||piR-60152,04,86955485,86956766
AFF1,AFF1,GH04J086957,Enhancer,13.30607,ENCODE||dbSUPER,22803,5,BCLAF1||IRF4||BATF||JUND||IKZF1||MTA3||ATF2||JUNB||ZNF217||SPI1||IKZF2||MTA2||EED||NBN||DPF2||RUNX3||RELB||YY1,C4orf36||KLHL8||TECRP1||ENSG00000285458||HSALNG0035673||piR-60152,04,86957360,86957458
