InputTerm,Symbol,GHIDs,GHtype,Score,Sources,TSSdistance,NumGenesAway,TFBSs,OtherGeneTargets,Chromosome,Start,End
BCL11B,BCL11B,GH14J099255,Promoter/Enhancer,276.0657,ENCODE||EPDnew||Ensembl||CraniofacialAtlas||FANTOM5||dbSUPER||UCNEbase,6779,1,HCFC1||DPF2||ZNF580||KLF17||ZNF184||CTCF||ZNF600||RCOR1||POLR2A||ZIC2||ZNF10||HIC1||ZBTB10||REST||DEK||ZNF654||TRIM22||SIN3A||ZMYM3||ZNF639||ZNF217||ZNF341||ZNF223||ZEB1||CHD4||ELF1||HES1||FEZF1||CTBP1||CUX1||KLF9||RAD21||NONO||SP2||ZBTB7B||ZNF513||ZNF585B||SMC3||SMARCA5||YY1||SMAD4||ETV4||RARA||ZKSCAN1||E4F1||TEAD3||BCL6||ZNF843||TCF7L2||ZBTB48||SPI1||KLF16||MYC||PRDM6||MAX||PKNOX1||ZSCAN23||KDM1A||ZNF512B||MAZ||BHLHE40||ZNF24||ZNF189||SOX5||SCRT1||ZNF2||NRF1||SMARCE1||CBX2||ZBTB33||IKZF1||INSM2||ZFP37||TAF1||ZNF48||ZNF362||HDAC2||TOE1||ZBTB21||NFIB||GLIS1||ZNF768||PRDM4||ZNF18||ZNF398||ZFP69B||BCLAF1||ZFP36||RXRB||NR2F6||CREM||SP7||ZNF16||RFX5||EGR1||SP1||ZNF366||TRIM28||POU5F1||KLF1||ZNF202||ZNF785||ZNF561||ZNF687||ZBTB7A||L3MBTL2||ZNF792||NR2F1||KLF10||CREB1||ZNF324||YY2||ZSCAN21||ZBTB12||ZSCAN4||MNT||SP3||ZNF660||ZBTB8A||ZXDB||ZBTB49||ZFX||EGR2||NCOR1||TARDBP||ZNF143||GATAD2A||ZNF175||ZEB2||XRCC5||ZNF629||MTA1||EP300||ZNF692||PATZ1||ZHX2||OSR2||CBX8||ZNF239||ESRRA||PRDM10||ZBTB17||GLIS2||ZNF579||SOX13||GTF2F1||ZBTB6||TCF12||BCL11A||ZNF207||RB1||ZNF501||BACH1||ZNF707||ZSCAN18||FOXK2||JUND||KLF8||RUNX3||CHD2||ZBTB20||USF1||GATAD2B||ZNF121||ZNF777||EZH2||ZBTB11||CHD1||ZFHX2||SKI||ZNF423||ZBTB26||ZNF37A||PRDM1||ZNF335||ZNF444||SCRT2||ELK1||WT1,ENSG00000235785||HSALNG0103649||YY1||RPL3P4||CCNK,14,99255435,99275401
BCL11B,BCL11B,GH14J099277,Enhancer,0.4455235,Ensembl||FANTOM5||dbSUPER,-5744,1,PRDM10,HSALNG0103650||HSALNG0103651||CCNK||CYP46A1,14,99277682,99278200
BCL11B,BCL11B,GH14J099281,Enhancer,0.4455235,Ensembl,-8804,2,,HSALNG0103651||LOC105370660||lnc-BCL11B-1||CCNK,14,99280601,99281400
BCL11B,BCL11B,GH14J099279,Enhancer,0.4455235,UCNEbase,-7238,2,,HSALNG0103651||LOC105370660||CCNK,14,99279276,99279594
BCL11B,BCL11B,GH14J099285,Enhancer,6.807977,ENCODE||Ensembl||FANTOM5||dbSUPER,-13942,2,IRF4||SPI1||MYC||BHLHE40||POLR2A||ZNF24||ATF2||BACH1||STAT3||IKZF1||EGR2||MTA2||IKZF2||ATF7||DPF2||RELB||RUNX3||GATAD2B||ZFHX2||MLLT1,HSALNG0103652||LOC105370660||HSALNG0103651||lnc-BCL11B-1||CCNK,14,99284401,99287876
BCL11B,BCL11B,GH14J099282,Enhancer,0.4118219,dbSUPER,-10407,2,,HSALNG0103651||LOC105370660||lnc-BCL11B-1||CCNK,14,99282270,99282938
BCL11B,BCL11B,GH14J099251,Enhancer,17.99811,ENCODE||FANTOM5||dbSUPER||UCNEbase,18812,2,ZNF580||KLF17||ZNF600||ZNF10||ZIC2||ZBTB10||ZNF341||KLF7||FEZF1||ZNF843||ZBTB48||PRDM6||ZNF24||ZNF189||SCRT1||GLIS1||ZNF768||PRDM4||ZNF18||ZNF398||ZFP69B||ZMYM3||ZFP36||SP7||KLF1||L3MBTL2||ZNF792||KLF10||CTBP1||PKNOX1||ZBTB8A||ZXDB||EGR2||ZEB2||ZNF629||ZNF692||PATZ1||OSR2||MZF1||PRDM10||GFI1B||ZBTB17||ZNF501||KLF8||TSHZ1||ZBTB11||ZFHX2||OVOL3||ZNF423||KDM1A||ZNF335||ZBTB44||WT1,ENSG00000235785||HSALNG0103647||DEGS2,14,99251703,99255066
BCL11B,BCL11B,GH14J099250,Enhancer,17.97694,FANTOM5||dbSUPER,21267,2,ZNF600||ZIC2||FEZF1||PRDM6||ZNF2||GLIS1||ZFP69B||ZNF692,ENSG00000235785||HSALNG0103647,14,99250860,99251000
BCL11B,BCL11B,GH14J099225,Promoter/Enhancer,33.46684,ENCODE||Ensembl||CraniofacialAtlas||FANTOM5||dbSUPER||UCNEbase,34217,2,ZNF580||ATF2||KLF17||ZNF184||ZNF600||POLR2A||ZIC2||MAZ||ZNF639||ZNF341||FEZF1||ZNF610||CTBP1||SP2||SIN3A||ZNF513||YY1||NFE2||ZNF843||YBX1||ZBTB48||PRDM6||JUND||PRDM10||BATF||CTCF||ZNF189||SCRT1||ZNF2||NRF1||INSM2||TAF1||CHD1||JUNB||GLIS1||ZNF768||PRDM4||ZNF18||ZNF398||ZFP69B||SP7||EGR1||SP1||GATA2||ZNF366||TRIM28||ZNF561||BCL6B||ZNF792||CREB1||ZNF324||IKZF1||ZSCAN21||PKNOX1||TBP||ZBTB8A||ZXDB||HDGF||ZEB2||FOS||ZNF629||ZNF692||PATZ1||OSR2||ZNF266||MZF1||MYNN||ZBTB17||GLIS2||ZBTB6||BCL11A||EED||BACH1||ZNF707||USF1||ZNF121||ZSCAN5C||OVOL3||ZNF423||KDM1A||ZNF274||GATAD2B||PRDM1||ZBTB44||WT1,HSALNG0103647||ENSG00000235785||DEGS2||CCNK||SETD3||ENSG00000234648||RPL3P4,14,99225264,99250696
BCL11B,BCL11B,GH14J099313,Enhancer,0.2735989,Ensembl,-41904,7,,HSALNG0103653||piR-48325-041||CCNK,14,99313801,99314400
