InputTerm,Symbol,GHIDs,GHtype,Score,Sources,TSSdistance,NumGenesAway,TFBSs,OtherGeneTargets,Chromosome,Start,End
ADH1A,ADH1A,GH04J099290,Promoter,260.6347,EPDnew||RefSeq,-536,0,YY1||RXRA||KAT2B||HNF4A||GATAD2A||REST||TAF1||HNF4G||ATF3||SP1,lnc-C4orf17-3||ADH1C||ADH6||HSALNG0035985-001||LOC100507053,04,99290931,99292147
ADH1A,ADH1A,GH04J099300,Enhancer,14.10151,ENCODE||Ensembl,-10056,0,CEBPA||NFIC||MAFF||RXRA||TEAD3||MAFK||RAD21||BHLHE40||NFIB||MAX||SP1||CEBPG||NFIA||CEBPB||NR2F2||TEAD1,lnc-C4orf17-3||ADH1C||HSALNG0035985-001||LOC100507053,04,99299651,99302467
ADH1A,ADH1A,GH04J099276,Enhancer,0.4118219,ENCODE,14424,0,,ADH6||HSALNG0035985-001||LOC100507053,04,99276504,99276653
ADH1A,ADH1A,GH04J099278,Enhancer,0.4118219,Ensembl,11702,0,,ADH6||ADH1C||HSALNG0035985-001||LOC100507053,04,99279001,99279600
ADH1A,ADH1A,GH04J099309,Enhancer,13.91765,Ensembl,-19198,1,CREB1,lnc-C4orf17-3||piR-47464||ADH1B||ADH1C||PCNAP1||ADH4||LOC100507053,04,99309601,99310800
ADH1A,ADH1A,GH04J099314,Promoter,261.9091,EPDnew,-23057,1,,piR-47464||lnc-C4orf17-3||ADH1B||ADH1C||LOC100507053,04,99314030,99314089
ADH1A,ADH1A,GH04J099321,Promoter/Enhancer,22.29462,ENCODE||EPDnew||Ensembl||RefSeq,-32587,2,ATF3||YY1||CEBPA||FOXA2||MAFF||RXRA||ZBTB33||JUND||SPI1||MAFK||HNF4A||RAD21||FOXA1||REST||MAX||SP1||HLF||TAF1||HNF4G||EGR1||CEBPB||NR2F2||GABPA,piR-54987-096||piR-47464||lnc-C4orf17-3||ADH1B||ADH1C||ENSG00000272777||LOC100507053,04,99321367,99325813
ADH1A,ADH1A,GH04J099317,Promoter,23.46602,Ensembl,-27998,2,YY1||ZBTB33,piR-47464||piR-54987-096||lnc-C4orf17-3||ADH1B||ADH1C||ENSG00000272777||LOC100507053,04,99317601,99320400
ADH1A,ADH1A,GH04J099382,Enhancer,8.977067,ENCODE||Ensembl||FANTOM5||dbSUPER,-93092,15,YY1||CEBPA||MNT||BHLHE40||FOXA2||RXRA||ZBTB33||NFE2||RARA||JUND||FOXP1||MAFK||MAFG||HMG20A||HNF4A||RAD21||FOXA1||ZNF3||REST||MAX||IKZF5||SP1||ZNF644||HLF||POLR2A||GATAD2A||NFE2L2||HNF4G||SOX13||EGR1||ATF3||EP300||FOXA3||NR2F2||ZGPAT||MGA,piR-57133-461||LOC102723576||ADH1B||ADH1C||lnc-ADH7-1||ADH7||MTTP||ADH5,04,99382532,99385657
ADH1A,ADH1A,GH04J099381,Enhancer,36.62163,FANTOM5,-90143,15,YY1||SP1,piR-57133-461||LOC102723576||ADH1B||ADH1C||lnc-ADH7-1||ADH7||ADH6||LOC100507053||ADH4,04,99381054,99381238
ADH1A,ADH1A,GH04J099202,Enhancer,10.17722,ENCODE||Ensembl,88202,2,FOXA2||RAD21||RXRA||FOXA3||NR2F2,piR-31292-149||ADH6||lnc-ADH1A-1||ADH4||HSALNG0035985-001||HSALNG0035985-002||LOC100507053,04,99202201,99203400
ADH1A,ADH1A,GH04J099352,Promoter/Enhancer,22.92825,ENCODE||EPDnew||Ensembl||RefSeq,-62222,8,RXRA||RAD21||MAX||SP1||REST||TAF1,ADH1B||ADH1C||lnc-ADH1A-2||piR-59928-097||ADH7||ADH5||LOC100507053,04,99352601,99353848
ADH1A,ADH1A,GH04J099353,Promoter,10.70285,RefSeq,-63095,8,,ADH1B||ADH1C||lnc-ADH1A-2||piR-59928-097||ADH7||LOC100507053,04,99353947,99354249
