GPAT3	GH04J084380
CHPT1	GH12J101739
CYP27B1	GH12J057769
FADS1	GH11J061797
FADS1	GH11J061795
FADS1	GH11J061800
FADS1	GH11J061796
LYPLA1	GH08J054090
LYPLA1	GH08J054616
PLA2G3	GH22J031137
SCD5	GH04J082844
SLC27A5	GH19J058540
SLC27A5	GH19J058541
SMPD4	GH02J130190
SRD5A3	GH04J055313
SRD5A3	GH04J055157
TM7SF2	GH11J065048
PEDS1	GH20J050124
