InputTerm,Symbol,GHIDs,GHtype,Score,Sources,TSSdistance,NumGenesAway,TFBSs,OtherGeneTargets,Chromosome,Start,End
DRAP1,DRAP1,GH11J065910,Promoter/Enhancer,255.2407,Ensembl||FANTOM5||ENCODE||EPDnew||CraniofacialAtlas||dbSUPER,-3547,3,BCLAF1||SP1||ZNF654||MYC||ZNF207||ZNF600||IKZF1||SSRP1||JUND||ZNF592||ZMYM3||KLF9||NFIC||POLR2A||ZIC2||YY1||NONO||BCL11A||CTCF||REST||KLF11||SMAD5||SIN3A||DEK||ELK1||TARDBP||ETS1||BHLHE40||ZNF639||MBD2||TBP||ZNF341||ZEB1||ZFP64||HOMEZ||NR2C1||MAX||ZBTB7B||ZNF217||KMT2B||IRF2||EP300||THAP11||ELF1||CTBP1||SIN3B||HCFC1||MAFF||NBN||SP2||SMAD4||RXRA||ZNF511||SAP130||RAD21||DEAF1||SMC3||RFX5||MIER3||RUNX1||RARA||ZNF316||GABPB1||TEAD3||ZSCAN9||EBF1||DDX20||CBFB||TCF7L2||SMARCA5||USF2||FOSL2||GABPA||NFE2||ZKSCAN1||SKIL||E4F1||BCL11B||ZNF143||MYNN||FOXP1||KLF16||ASH2L||MAFK||CEBPZ||PTBP1||TAF1||DRAP1||BCL6||PRDM10||ZHX1||ZNF205||KDM1A||HLTF||STAT5A||MYRF||ZBTB48||MLLT1||CBX1||ZBTB40||SOX5||SUPT5H||SPI1||ZNF189||NFE2L2||SMARCE1||ETV1||FOXM1||INSM2||ZFP37||HNF4A||EP400||SCRT1||MAZ||RCOR1||MXD3||ZNF24||MAFG||HBP1||ZBTB33||EGR1||RBPJ||NRF1||GATAD1||RB1||ZNF48||NFATC1||CHAMP1||HMG20B||NR2F1||RLF||HNRNPL||TEAD4||ATF2||TFAP4||GATA4||ZNF652||BACH1||E2F7||STAT1||TOE1||NFIB||ZBTB21||GLIS1||ELF3||IKZF5||RXRB||ZNF398||SP7||CEBPG||TCF12||L3MBTL2||LARP7||ZFP36||ZFP69B||MEIS2||NFIA||HDAC1||JUN||ZNF350||NKRF||DPF2||ARID1B||ARID4B||PKNOX1||CREM||NR2F6||ZFX||JUNB||ZNF561||PHF20||KDM3A||GMEB1||ZBTB7A||ARID3A||KLF10||KLF5||CREB1||ZNF580||KLF1||ZNF184||PPARG||ZNF366||NFIL3||ZBTB12||ATF1||SP3||ZBTB8A||ZNF687||E2F4||ZNF324||HLF||ZXDB||TBL1XR1||ZC3H11A||MNT||ZEB2||MLX||CHD1||ATF3||ZSCAN21||ZNF629||EGR2||LEF1||TGIF2||MIXL1||ZNF692||GATAD2A||ZNF660||SP5||KDM4B||NFKBIZ||GTF2F1||XRCC5||FOS||PATZ1||ESRRA||RNF2||IKZF2||MTA1||TRIM24||CHD2||TRIM22||ZNF221||E2F8||ZBTB17||SOX6||ZKSCAN8||KAT8||GLIS2||ZBTB6||EED||ZNF7||TFDP1||SOX13||PHF8||RUNX3||ZSCAN18||NR4A1||ZHX2||KLF8||MTA3||ETV6||TCF7||BCOR||ATF7||ZBED1||NCOR1||NFXL1||RCOR2||RERE||ARNT||ZSCAN29||TSHZ1||GATAD2B||AHR||CBX3||MTA2||MEF2D||FOXA3||ZGPAT||RBFOX2||CBX5||NR2F2||TFE3||RELB||RFX3||CC2D1A||CEBPB||ZFHX2||ZBTB20||ZNF121||AFF1||ZNF174||ZBTB25||KLF17||ZNF37A||TEAD1||ZNF335||HIC1||SCRT2||ZBTB44||SREBF2||KLF6||SMARCA4||DNMT3B||MGA||EMSY||WT1||HDAC2||ZBTB26||ZNF444||ERF||E2F1,ATG2A||BANF1||BBS1||BRMS1||C11orf68||CCDC85B||CDCA5||CFL1||CST6||CTSF||CTSW||DPF2||EIF1AD||FIBP||FOSL1||KAT5||KLC2||MRPL11||MUS81||PCNX3||POLA2||RAB1B||RBM14||RBM4||RBM4B||RCE1||RIN1||RNASEH2C||SART1||SCYL1||SF3B2||SNX32||TMEM151A||TSGA10IP||YIF1A||ZFPL1||ZNRD2||ENSG00000245156||ENSG00000254461||ENSG00000254855||ENSG00000255038||ENSG00000255320||ENSG00000260233||HSALNG0084966||MN309271||NONHSAG008711.2,11,65910046,65921408
DRAP1,DRAP1,GH11J065927,Enhancer,0.4428639,FANTOM5||ENCODE,8971,2,SP1||NCOR1||ZNF592||TRIM22||IRF2||SAP130||IRF4||EBF1||CBFB||RELA||TAL1||ASH2L||TAF1||BHLHE40||ELF1||ZNF384||ZC3H8||IKZF1||RB1||TCF12||MTA2||HDGF||ZNF3||ZBTB40||POLR2A||DPF2||ARID1B||GMEB1||SMARCE1||TARDBP||MLLT1||ZNF687||CDC5L||RNF2||IKZF2||EED||NFRKB||ZNF143||NBN||RUNX3||ETV6||BCOR||LEF1||ZSCAN29||RELB||YY1||CBFA2T3||MTA1||SMARCA4,AP5B1||BANF1||CCDC85B||CFL1||CST6||CTSW||EHBP1L1||EIF1AD||FIBP||FOSL1||MAP3K11||MUS81||PACS1||RELA||SART1||SNX32||TSGA10IP||LOC105369349||ENSG00000255038||ENSG00000255320||HSALNG0084968||piR-33614-039,11,65927038,65929451
DRAP1,DRAP1,GH11J065932,Enhancer,0.4108211,Ensembl||ENCODE,13326,2,NCOR1||NFIC||REST||TAL1||USF2||STAT5A||CTCF||FOXM1||RAD51||FOXA1||ZNF384||ZBTB33||TCF12||MTA2||ZNF143||TEAD4||GLIS1||LARP7||DPF2||ARID1B||CREB1||CEBPB||L3MBTL2||CBFA2T2||KLF16||TRIM24||HDGF||SOX6||ZBTB6||ATF2||BCOR||ATF7||EP300||USF1||CBFA2T3||PML||SMARCA4,CCDC85B||CFL1||CTSW||EIF1AD||FIBP||FOSL1||MUS81||PACS1||SART1||SNX32||TSGA10IP||LOC105369349||ENSG00000255320||piR-33614-039,11,65931001,65934199
DRAP1,DRAP1,GH11J065934,Enhancer,0.3721573,Ensembl,15427,2,CEBPA||STAT5A||FOXM1||TCF12||MTA2||CEBPG||DPF2||CEBPB||HLF||KLF16||SOX6||TRIM24||CBFA2T3||PML,CCDC85B||CFL1||CTSW||FIBP||FOSL1||MUS81||PACS1||SART1||SNX32||TSGA10IP||LOC105369349||ENSG00000255320||piR-33614-039,11,65934401,65935000
DRAP1,DRAP1,GH11J065937,Enhancer,0.3721573,Ensembl,18627,3,,AP5B1||BANF1||CCDC85B||CFL1||CST6||CTSW||EFEMP2||EIF1AD||FIBP||FOSL1||KAT5||MUS81||OVOL1||OVOL1-AS1||RNASEH2C||SART1||SF3B2||TSGA10IP||LOC105369350||HSALNG0084970||piR-33614-039,11,65937601,65938200
DRAP1,DRAP1,GH11J065884,Promoter/Enhancer,254.4888,Ensembl||FANTOM5||ENCODE||EPDnew||CraniofacialAtlas||dbSUPER,-24834,7,BCLAF1||SP1||ZNF207||NCOR1||MYC||ZNF654||ZNF600||IKZF1||SIX5||SSRP1||JUND||ZNF592||POLR2A||CEBPA||ZNF10||BRCA1||NFIC||ZIC2||ZBTB10||YY1||MXD4||NONO||CTCF||CEBPB||REST||KLF11||SMAD5||SIN3A||DEK||TARDBP||ELK1||ETS1||TRIM22||HES1||CHD2||BHLHE40||FEZF1||MBD2||TBP||ZNF341||ZEB1||ZFP64||MNT||KLF7||NR2C1||MAX||ZBTB7B||ZNF217||KMT2B||EP300||TAF9B||THAP11||GABPA||ELF1||KLF9||CTBP1||SIN3B||HCFC1||MAFF||NBN||SMAD4||SP2||RXRA||ZNF511||SAP130||RAD21||IRF4||SMC3||RFX5||ETV4||NKRF||MIER3||RUNX1||RARA||DMAP1||GABPB1||ZNF316||TEAD3||EBF1||DDX20||CBFB||ZNF843||ZBTB5||TCF7L2||RBM22||KAT7||SMARCA5||FOSL2||SAFB||NFE2||ZKSCAN1||SKIL||CREM||E4F1||BCL11B||ZNF143||MYNN||KLF16||ASH2L||MAFK||CCAR2||PTBP1||TAF1||DRAP1||MBD1||BCL6||PRDM10||ATF1||ZNF205||HLTF||ZSCAN5A||THRAP3||ZBTB48||MLLT1||CBX1||ZBTB40||ZNF318||SUPT5H||SMARCA4||ZNF2||SPI1||GTF2F1||ZNF189||NFE2L2||SRF||SMARCE1||PKNOX1||ETV1||RAD51||BATF||HDAC2||NCOA1||EP400||MAZ||RCOR1||ZNF24||MXD3||FOXK2||ZNF384||MAFG||ZEB2||NRF1||HBP1||ZC3H8||EGR1||ZBTB33||RBPJ||DIDO1||GATAD1||FOXA1||FOXM1||ZNF48||RB1||ZHX1||HDGF||NR2F1||NFYC||ARHGAP35||TAF7||RLF||HNRNPL||ZNF792||NR2F6||CHD1||RBM39||TEAD4||TFAP4||GATA4||BACH1||STAT1||TOE1||HDAC8||ARNT||ZBTB21||GLIS1||ELF3||ZNF768||RXRB||IKZF5||ZNF398||SP7||KLF1||L3MBTL2||TCF12||LARP7||ZFP36||ZFP69B||MEIS2||ZMYM3||HDAC1||DPF2||ARID4B||ARID1B||ZFX||MCM2||ZNF561||JUNB||PHF20||KDM3A||GMEB1||ZBTB7A||KLF10||ARID3A||KLF5||CREB1||YY2||ZNF580||PPARG||ZNF366||NFIL3||ZBTB12||PHF21A||SP3||ZBTB8A||ZSCAN4||ZNF687||HLF||SUZ12||ZXDB||HSF1||TBL1XR1||ZC3H11A||SNRNP70||FUS||MLX||ARID2||KDM1A||ATF3||ZSCAN21||ZNF629||EGR2||LEF1||TGIF2||MIXL1||ZNF692||GATAD2A||ZNF660||DACH1||SP5||KDM4B||NFKBIZ||OSR2||TCF7||XRCC5||FOS||RFX1||IRF2||PATZ1||ESRRA||RNF2||IKZF2||MTA1||TRIM24||MTA2||ZBTB17||ZBTB26||SOX6||KAT8||IRF3||GLIS2||ZBTB6||EED||NFRKB||USF2||ATF7||ATF2||TFDP1||BCL11A||ZNF579||PHF8||RUNX3||ZHX2||NR4A1||KLF8||MTA3||ETV6||BCOR||ZNF501||ZBED1||ZNF777||ELF4||NFXL1||ZSCAN29||RERE||POLR2B||GATAD2B||AHR||CBX3||MEF2D||FOXA3||ZGPAT||ZBTB11||RBFOX2||NR2F2||TFE3||RELB||CC2D1A||ZFHX2||BRD9||ZBTB20||ZNF121||OVOL3||AFF1||ZNF174||ZNF184||EZH2||ZBTB25||KLF17||PRDM1||CBFA2T3||ZNF37A||TEAD1||HNRNPUL1||ZNF335||HIC1||PML||ZNF248||ZBTB44||SREBF2||KLF6||ZBTB2||MIER1||DNMT3B||MGA||EMSY||WT1||ZNF444||ERF,AP5B1||ATG2A||BANF1||BBS1||BRMS1||C11orf68||CCDC85B||CCS||CD248||CFL1||CST6||CTSF||CTSW||DPF2||EFEMP2||EHBP1L1||EIF1AD||FAU||FIBP||FOSL1||FRMD8||KAT5||KLC2||MALAT1||MAP3K11||MRPL11||MUS81||NAALADL1||NEAT1||NPAS4||OVOL1-AS1||PCNX3||POLA2||RAB1B||RBM14||RBM4||RBM4B||RCE1||RELA||RIN1||RNASEH2C||SART1||SCYL1||SF3B2||SNX32||SYVN1||TSGA10IP||YIF1A||ZFPL1||ZNRD2||ENSG00000245156||ENSG00000254461||ENSG00000254855||ENSG00000255038||ENSG00000255320||ENSG00000260233||HSALNG0084963||HSALNG0084964||HSALNG0084965,11,65884212,65904668
DRAP1,DRAP1,GH11J065940,Enhancer,12.19984,ENCODE,22094,3,MYC||IKZF1||NCOR1||NFIC||HES1||ARNT||NBN||ELF1||TAL1||ZNF316||PRDM10||STAT5A||SMARCA4||SPI1||EHMT2||FOXM1||POLR2A||HDAC2||NCOA1||MAFK||EP400||MAFG||ZEB2||EGR1||NRF1||TCF12||MTA2||ATF4||TEAD4||MAFF||ZBTB40||MEIS2||HDAC1||DPF2||ARID1B||CREM||GMEB1||CEBPB||GABPB1||SMARCE1||ATF1||TBL1XR1||DNMT1||KDM1A||ATF3||CBFA2T2||DDX20||KLF16||ZNF24||RNF2||TRIM24||CTBP1||SOX6||NFRKB||PKNOX1||MTA3||BCOR||ATF7||LEF1||GATAD2A||MNT||CBX3||EP300||FOS||CC2D1A||BRD9||NFXL1||AFF1||CBFA2T3||PML||MTA1||ZBTB2||EMSY,BANF1||C11orf68||CCDC85B||CFL1||CST6||CTSW||EFEMP2||EIF1AD||FIBP||FOSL1||MUS81||SART1||TSGA10IP||LOC105369350||HSALNG0084970||piR-33614-039,11,65940354,65942382
DRAP1,DRAP1,GH11J065945,Promoter/Enhancer,12.60982,Ensembl||ENCODE||CraniofacialAtlas,26401,7,CEBPA||POLR2A||SMAD4||RARA||FOXP1||TAF1||RFX1||CEBPG||SP1||GATAD2A||MNT||FOXA3||CHD2||SCRT2,AP5B1||BANF1||C11orf68||CATSPER1||CCDC85B||CFL1||CST6||CTSW||EFEMP2||EIF1AD||FIBP||FOSL1||MUS81||OVOL1||OVOL1-AS1||SART1||TSGA10IP||LOC105369350||HSALNG0084970||HSALNG0084971||lnc-EIF1AD-5,11,65944930,65946419
DRAP1,DRAP1,GH11J065946,Enhancer,12.60982,Ensembl,27627,7,,AP5B1||BANF1||C11orf68||CATSPER1||CCDC85B||CFL1||CST6||CTSW||EFEMP2||EIF1AD||FIBP||FOSL1||MUS81||OVOL1||OVOL1-AS1||SART1||TSGA10IP||LOC105369350||HSALNG0084970||HSALNG0084971||lnc-EIF1AD-5,11,65946801,65947000
DRAP1,DRAP1,GH11J065470,Promoter/Enhancer,1.459493,Ensembl||FANTOM5||VISTA||ENCODE||EPDnew||CraniofacialAtlas||dbSUPER,-429129,139,LARP7||BCLAF1||SP1||ZNF207||NCOR1||ZNF600||MYC||IKZF1||SSRP1||JUND||ZNF580||ZNF592||ZMYM3||ATF2||KLF9||POLR2A||CEBPA||ZNF223||ZNF10||ATF3||BRCA1||NFIC||ZIC2||CHD4||ZBTB10||YY1||MXD4||NONO||BCL11A||CTCF||REST||CEBPB||KLF11||SMAD5||SIN3A||DEK||TARDBP||ELK1||ETS1||TRIM22||CHD2||HES1||BHLHE40||FEZF1||ZNF639||MBD2||IRF3||TBP||ZNF341||ZEB1||ZFP64||MNT||HOMEZ||KLF7||ZNF148||NR2C1||MAX||MCM3||ZBTB7B||ZNF217||ZNF513||ARNT||KMT2B||IRF2||RAD51||EP300||NFATC3||TAF9B||THAP11||GABPA||ELF1||FOXA2||KDM6A||CTBP1||SIN3B||HCFC1||PRDM1||MAFF||NBN||SMAD4||SP2||RXRA||ZNF511||SAP130||RAD21||CUX1||DEAF1||PAX8||ZBTB33||RFX5||SMC3||IRF4||ETV4||MIER3||NKRF||TAL1||MLLT1||RUNX1||RARA||TRIM25||STAT3||DMAP1||GABPB1||ZNF316||TEAD3||NUFIP1||ZSCAN9||EBF1||DDX20||THRB||CBFB||ZNF843||ZBTB5||TCF7L2||RBM22||ESRRA||KAT7||SMARCA5||USF2||FOSL2||SAFB||NFE2||ZNF146||RELA||ZKSCAN1||CREM||SKIL||NCOA2||SUZ12||BCL11B||ZNF143||MYNN||KLF16||FOXP1||MAFK||PRDM6||CEBPZ||PTBP1||TAF1||DRAP1||MBD1||BCL6||PRDM10||ATF1||GTF2F1||ZHX1||GLI4||ZNF205||HLTF||KDM1A||ZNF624||XRCC3||STAT5A||IRF9||THRAP3||ZNF318||MYRF||ZBTB48||CBX1||ZBTB40||SOX5||SUPT5H||SMARCA4||ZNF2||SPI1||EHMT2||ZNF189||NFE2L2||SRF||ZBTB1||SMARCE1||PKNOX1||ETV1||FOXM1||INSM2||BATF||HDAC2||NCOA1||ZFP37||HNF4A||TBX3||ZSCAN23||EP400||YBX1||ZNF24||HMG20A||FOXA1||MAZ||SCRT1||RCOR1||MXD3||FOXK2||ZNF384||MAFG||ZEB2||NRF1||HBP1||ZC3H8||CBX2||EGR1||RBPJ||GATAD1||BMI1||ZNF48||RB1||TCF12||NFATC1||ZNF362||HMG20B||MIER2||SNIP1||MTA2||HDGF||ZSCAN29||ZNF488||NR2F1||ZNF664||ATF4||NFYC||ARHGAP35||DPF2||HNRNPH1||TAF7||RLF||HNRNPL||TCF7||NR2F6||MTA3||ZNF792||ZNF19||CHD1||RBM39||RFX1||TEAD4||TFAP4||RBBP5||ZNF3||JUNB||ZNF652||ZNF518A||GATA4||BACH1||STAT1||TOE1||CSDE1||HDAC8||NFIB||ZBTB21||GLIS1||NCOA3||ELF3||IKZF5||RXRB||ZNF398||SP7||ZNF18||KLF1||CEBPG||L3MBTL2||PRDM4||SREBF1||ZFP36||ZFP69B||MEIS2||NFIA||GATA2||HDAC1||JUN||NFRKB||TRIM28||PYGO2||ZBED1||ARID1B||ARID4B||ZFX||ZNF561||PHF20||ZC3H11A||KDM3A||GMEB1||ZBTB7A||KLF10||ARID3A||TEAD2||KLF5||CREB1||HNF1A||NCOA6||ZNF184||ZNF644||SOX13||PPARG||POU5F1||ZNF366||NFIL3||ZBTB12||ZNF202||PAF1||SP3||ZBTB8A||ZFP3||ZSCAN4||GATAD2B||ZNF687||E2F4||ZNF324||HLF||ZXDB||HSF1||TBL1XR1||SNRNP70||FUS||MLX||DNMT1||ARID2||ZSCAN21||ZNF629||EGR2||LEF1||TGIF2||MIXL1||ZNF692||GATAD2A||ZNF660||ZNF473||ZHX2||DACH1||U2AF2||SP5||KDM4B||NFKBIZ||KHSRP||CBFA2T2||OSR2||ZNF266||XRCC5||ZNF354B||FOS||CDC5L||PATZ1||RNF2||IKZF2||MTA1||TRIM24||GFI1B||MZF1||E2F8||ZBTB17||ZBTB26||ZNF680||SOX6||ZNF558||KAT8||ZKSCAN8||ZNF626||ZNF512||GLIS2||ZBTB6||EED||ATF7||TFDP1||HNF4G||ZNF579||YBX3||ZNF707||PHF8||ZNF512B||CHAMP1||RUNX3||ZSCAN18||NR4A1||KLF8||ETV6||ZNF740||BCOR||MCM7||ZNF501||PPP1R10||ELF4||RCOR2||RERE||TSHZ1||POLR2B||ZNF138||GTF2A2||CBX3||AHR||MEF2D||FOXA3||ZGPAT||ZBTB11||USF1||RBFOX2||RFXANK||NR2F2||RELB||TFE3||RFX3||CC2D1A||ZFHX2||BRD9||ZBTB20||NFXL1||ZNF423||ZNF121||OVOL3||AFF1||PBX2||ZBTB25||KLF17||HMBOX1||CBFA2T3||ZNF37A||TEAD1||ZNF335||HNRNPUL1||HIC1||PML||SCRT2||ZBTB44||SREBF2||ZSCAN5C||KLF6||ZBTB2||MIER1||DNMT3B||MGA||EMSY||THRA||PHB2||WT1||ZNF444||ERF||GMEB2||E2F1,AP5B1||ATG2A||B4GAT1||BATF2||BRMS1||C11orf68||CCDC85B||CD248||CDC42EP2||DPF2||DPP3-DT||EFEMP2||EHBP1L1||EIF1AD||FAU||FRMD8||KAT5||KCNK7||KLC2||KRT8P26||LINC02736||LTBP3||MALAT1||MAP3K11||MEN1||MIR612||MRPL11||MUS81||NAALADL1||NEAT1||NRXN2||PCNX3||PELI3||POLA2||RAB1B||RELA||RNASEH2C||SAC3D1||SART1||SCYL1||SF1||SF3B2||SIPA1||SLC25A45||SNX32||SYVN1||TALAM1||TSGA10IP||VPS51||YIF1A||ZFPL1||ZNHIT2||ZNRD2||LOC728975||MASCRNA||ENSG00000173727||ENSG00000245156||ENSG00000254461||ENSG00000254855||ENSG00000255038||ENSG00000255320||ENSG00000255478||ENSG00000260233||ENSG00000269038||ENSG00000270117||ENSG00000278217||ENSG00000286756||HSALNG0084896||HSALNG0084898||HSALNG0084901||L13304-005||lnc-LTBP3-10||lnc-LTBP3-11||lnc-LTBP3-2-002||lnc-LTBP3-6||lnc-LTBP3-9||RF00017-855||RF01684-002,11,65470088,65510201
