MED6	hsa:10001
ZBTB33	hsa:10009
ZNF737	hsa:100129842
BCL2L11	hsa:10018
OCLN	hsa:100506658
DNM1L	hsa:10059
GPC6	hsa:10082
FAM13A	hsa:10144
G3BP1	hsa:10146
ABI2	hsa:10152
MPHOSPH9	hsa:10198
TRIM13	hsa:10206
CDK8	hsa:1024
SPRY2	hsa:10253
ABCC4	hsa:10257
MRVI1	hsa:10335
NCOA2	hsa:10499
HTATIP2	hsa:10553
IFI44	hsa:10561
POLR3G	hsa:10622
PNMA2	hsa:10687
LRP4	hsa:10699
CTSC	hsa:1075
KDM5B	hsa:10765
WDR4	hsa:10785
PDE10A	hsa:10846
IFI44L	hsa:10964
ASCC3	hsa:10973
DDX52	hsa:11056
ATE1	hsa:11101
PRDM4	hsa:11108
POU6F2	hsa:11281
TP53RK	hsa:112858
ECD	hsa:11319
MGLL	hsa:11343
OSBPL6	hsa:114880
ZNF618	hsa:114991
KCTD12	hsa:115207
IP6K3	hsa:117283
FAT3	hsa:120114
DEPDC4	hsa:120863
C12orf45	hsa:121053
SP7	hsa:121340
FGD4	hsa:121512
BTBD11	hsa:121551
TMEM170A	hsa:124491
KRBA2	hsa:124751
C17orf57	hsa:124989
ZNF491	hsa:126069
ADH4	hsa:127
DNAH14	hsa:127602
C20orf123	hsa:128506
C20orf94	hsa:128710
ADH4	hsa:131
COL19A1	hsa:1310
TAMM41	hsa:132001
PABPC4L	hsa:132430
EMB	hsa:133418
AFAP1L1	hsa:134265
POC5	hsa:134359
COX10	hsa:1352
ZNF572	hsa:137209
PTPDC1	hsa:138639
BRI3BP	hsa:140707
SRXN1	hsa:140809
VTI1A	hsa:143187
XRRA1	hsa:143570
ABHD12B	hsa:145447
ZFP90	hsa:146198
ZNF597	hsa:146434
SLFN13	hsa:146857
ZNF578	hsa:147660
ITPRIPL1	hsa:150771
CTSO	hsa:1513
CTSO	hsa:1519
THAP6	hsa:152815
SRFBP1	hsa:153443
PRELID2	hsa:153768
WBSCR27	hsa:155368
ZXDB	hsa:158586
LDHAL6A	hsa:160287
DENND5B	hsa:160518
SPRED1	hsa:161742
SLFN5	hsa:162394
