InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
LPCAT3,LPCAT3,GH12J007016,Promoter/Enhancer,1,lnc-PHB2-3||lnc-PHB2-5||C1S||CLSTN3,600.6656,Ensembl||ENCODE||CraniofacialAtlas||EPDnew||dbSUPER,SP1||HNRNPL||GATAD2A||CTCF||PRDM10||ZNF629||REST||TFE3||ZNF512||IKZF1||NFKBIZ||ZNF692||POLR2A||JUND||LARP7||PRDM1||ZNF143||RELA||ZIC2||RBFOX2||RXRB||PATZ1||RAD21||IRF2||IKZF2||ZNF501||TRIM22||DPF2||HDAC1||GABPA||ZNF600||YY1||SOX6||ZNF341||GATAD2B||TCF12||EP300||KMT2B||EED||NRF1||SOX13||ZBTB44||NONO||KLF9||ZBTB20||TAF1||SIN3A||SP2||TARDBP||ZNF639||NKRF||RFX1||RELB||KLF7||EGR1||ZNF10||ZXDB||CTBP1||RUNX3||ZBTB10||ESR1||ZEB1||TSHZ1||HDAC2||CHD2||OSR2||CBFB||BCL11A||PHB2||NR2C2||RCOR1||ZBTB48||ESRRA||E2F4||ZBTB26||SMC3||ZBTB25||ZBTB17||MNT||TBL1XR1||ZNF217||TEAD1||ZNF423||EP400||TRIM24||TFDP1||NCOR1||ZNF623||MAX||PCBP1||MAZ||RFX5||MXI1||NR2F2||ELF1||MBD2||NFYA||KLF13||NFYB||NFIC||NBN||ZSCAN9||WT1||HDGF||ZFHX2||KLF8||STAT5A||OVOL3||HCFC1||ZNF792||BCOR||SAP130||TBP||ZNF184||ZNF189||NR2F1||FOXM1||ZNF207||ZNF335||STAT1||GABPB1||ZNF395||KLF6||ZGPAT||ZBTB1||PRDM4||SMARCA5||ZNF213||ZFP69B||SKIL||TAL1||EBF1||ZNF654||DRAP1||CREM||ZNF513||ZNF18||HIC1||E4F1||SMAD5||SMAD4||NR2F6||BCL6||RB1||SUPT5H||BHLHE40||ZNF366||ZFP3||HNF4A||ZNF843||VEZF1||SREBF1||NFIL3||BCL11B||IKZF5||RXRA||ATF2||THAP11||ZNF324||RARA||DMAP1||ZNF660||GLIS1||THRB||ZNF398||ZNF2||ZNF24||KDM1A||ZEB2||KLF10||KLF16||FOS||MEIS2||YY2||ZFP37||MTA2||KDM3A||XRCC5||SMARCA4||ZBTB12||SP3||INSM2||KLF1||SMARCE1||ZBTB21||MYC||FOXA1||ARID3A||NFYC||RUNX1||EGR2||L3MBTL2||RBPJ||PRDM2||TEAD4||GATA4||CBFA2T2||ZNF687||ATF7||RNF2||MIXL1||PPARG||CBFA2T3||KLF14||HMG20B||ARID1B||MZF1||CREB1||SP7||BCL3||GTF2F1||E2F1||GLIS2||ZBTB8A||PML||ERF||GMEB1||KAT8||ATF1,207
LPCAT3,LPCAT3,GH12J007021,Enhancer,0,RPL37P20||lnc-EMG1-2||C1S||C1R,0.6656286,Ensembl,HDAC1||JUND||NR2F1||USF2||NR2F6||HDAC2||NFE2||KDM1A||TEAD4,-3493
LPCAT3,LPCAT3,GH12J007011,Enhancer,1,lnc-PHB2-5||lnc-PHB2-3||C1S||PHB2||SCARNA12||EMG1||RNU7-1||ATN1||C1R||C12orf57||CLSTN3||ENSG00000256967||RNU6-485P||RBP5||C1RL||C1RL-AS1||LRRC23||CD4,16.252,Ensembl,HMBOX1||NFE2||ZNF623||MAFG||CEBPB||VEZF1||CEBPG,6407
LPCAT3,LPCAT3,GH12J007030,Enhancer,0,RPL37P20||lnc-EMG1-2||C1S||PHB2||SCARNA12||RBP5||C1R||EMG1||C1RL||C1RL-AS1||RNU6-485P||CLSTN3||ENSG00000256967,0.409542,Ensembl,,-13193
LPCAT3,LPCAT3,GH12J007004,Enhancer,2,RF00998-028||lnc-PHB2-5||lnc-PHB2-3||C1S||EMG1||MIR141||MIR200C||MIR200CHG||PHB2||SCARNA12||PTPN6||RNU7-1||RNU6-485P||C12orf57||C1R||ATN1||C1RL||C1RL-AS1||ENSG00000256967||GNB3||CLSTN3||RBP5||GPR162||CD4||P3H3,0.409542,Ensembl,ZNF600||SPI1||HNF4A||RXRA||PRDM10||MAFK||HLF||SP1,11204
LPCAT3,LPCAT3,GH12J006997,Enhancer,3,RF00998-028||C1S||lnc-PHB2-3,0.3721704,Ensembl||ENCODE,SP1||CEBPB||YY1||GABPA||JUND||STAT1||TCF7L2||HNF4A||RXRA||MAX||FOS||ZNF579||ATF3||EGR1||SREBF1,19617
LPCAT3,LPCAT3,GH12J007001,Enhancer,3,RF00998-028||lnc-PHB2-5||C1S||lnc-PHB2-3||PHB2||EMG1||SCARNA12||PTPN6||C1RL||C1RL-AS1||RNU6-485P||CLSTN3||ENSG00000256967||RBP5,0.3721704,Ensembl,ZNF121,16007
LPCAT3,LPCAT3,GH12J007034,Enhancer,3,piR-31470-102||piR-39300-031||C1R||C1S||PHB2||RNU6-485P||SCARNA12||CLSTN3||ENSG00000256967||C1RL||C1RL-AS1||RBP5||EMG1,0.3721704,Ensembl,SCRT2||ZNF592||MYC||MAX||BHLHE40,-17993
LPCAT3,LPCAT3,GH12J007045,Enhancer,7,LOC100419825||lnc-EMG1-3||C1S||C1R||RNU6-485P||C1RL||C1RL-AS1,12.48025,Ensembl,USF1,-26993
LPCAT3,LPCAT3,GH12J006989,Enhancer,3,C1S||RF00998-028||EMG1||lnc-PHB2-3,0.3222245,ENCODE,RFX5||SREBF1,29364
