ACER2	GH09J019410
AGPAT3	GH21J043946
AGPAT3	GH21J043565
CHKB	GH22J050603
CHKB	GH22J050576
CHPT1	GH12J101739
CYP3A5	GH07J099717
CYP4F8	GH19J015611
CYP4F8	GH19J015615
CYP4F8	GH19J015508
DGKB	GH07J014974
DGKB	GH07J015031
DGKB	GH07J015396
DGKD	GH02J233307
DGKD	GH02J233564
DGKH	GH13J042138
DGKI	GH07J137774
DGKI	GH07J137513
DGKI	GH07J137345
FADS1	GH11J061797
FADS1	GH11J061795
FADS1	GH11J061800
FADS1	GH11J061796
HTD2	GH03J058240
LPIN2	GH18J002904
LYPLA1	GH08J054090
LYPLA1	GH08J054616
PAFAH1B1	GH17J002694
PCYT1A	GH03J196220
SLC27A5	GH19J058540
SLC27A5	GH19J058541
SPTLC3	GH20J012950
