AC006547.1 ENSG00000236540
AC007283.1 ENSG00000234431
AC007383.3 ENSG00000231955
AC009022.1 ENSG00000196696
AC009060.1 ENSG00000247228
AC009061.2 ENSG00000270049
AC009102.2 ENSG00000272372
AC009126.1 ENSG00000247121
AC011451.1 ENSG00000267510
AC011498.1 ENSG00000267011
AC012181.1 ENSG00000261114
AC012467.2 ENSG00000271976
AC015726.1 ENSG00000270091
AC015813.1 ENSG00000264112
AC017100.1 ENSG00000259985
AC017104.1 ENSG00000224376
AC020916.1 ENSG00000267519
AC022150.4 ENSG00000269825
AC024270.2 ENSG00000260351
AC024270.3 ENSG00000260579
AC048382.2 ENSG00000259244
AC068580.4 ENSG00000250644
AC068987.3 ENSG00000261586
AC069234.3 ENSG00000256569
AC079385.3 ENSG00000257918
AC087292.1 ENSG00000263165
AC092171.2 ENSG00000230733
AC108471.2 ENSG00000255458
AC127024.5 ENSG00000266490
AC234582.1 ENSG00000231064
AC234775.3 ENSG00000261101
AC245060.2 ENSG00000234630
AF001548.2 ENSG00000263335
AF131215.6 ENSG00000269918
AHSA2P ENSG00000173209
AL031186.1 ENSG00000237015
AL031963.3 ENSG00000272277
AL049838.1 ENSG00000259969
AL162595.1 ENSG00000177788
AL355075.2 ENSG00000258515
AL355297.3 ENSG00000271265
AL390195.2 ENSG00000260948
AL391650.1 ENSG00000236782
AL445524.1 ENSG00000233461
AL513477.2 ENSG00000272420
AL513534.2 ENSG00000260400
AL592424.1 ENSG00000261168
AL928654.1 ENSG00000251602
AP000802.1 ENSG00000247416
AP001469.3 ENSG00000239415
AP006284.1 ENSG00000254815
ATP5F1EP2 ENSG00000180389
ATP6V1G2-DDX39B ENSG00000254870
C1RL-AS1 ENSG00000205885
CHMP1B-AS1 ENSG00000267165
CRNDE ENSG00000245694
DGCR5 ENSG00000237517
DIO3OS ENSG00000258498
EP400P1 ENSG00000185684
FAM181A-AS1 ENSG00000258584
GAS5-AS1 ENSG00000270084
LINC00467 ENSG00000153363
LINC00648 ENSG00000259129
LINC00665 ENSG00000232677
LINC00847 ENSG00000245060
LINC01535 ENSG00000226686
LINC02575 ENSG00000228709
MAP3K14-AS1 ENSG00000267278
MCF2L-AS1 ENSG00000235280
MIR181A2HG ENSG00000224020
MIR4453HG ENSG00000268471
MIR600HG ENSG00000236901
PTOV1-AS1 ENSG00000268006
PTPRG-AS1 ENSG00000241472
PWRN1 ENSG00000259905
RFX3-AS1 ENSG00000232104
SDCBP2-AS1 ENSG00000234684
SLC2A1-AS1 ENSG00000227533
SNHG21 ENSG00000250988
THAP7-AS1 ENSG00000230513
THUMPD3-AS1 ENSG00000206573
TSPEAR-AS1 ENSG00000235890
TSPEAR-AS2 ENSG00000182912
ZNF561-AS1 ENSG00000267106
