"","ensembl_id","type","str","symbol","length","chr","total","non_zero","Schizophrenia.A162a","Schizophrenia.A162b","Schizophrenia.A162c","Schizophrenia.A128a","Schizophrenia.A128b","Schizophrenia.A128c","Schizophrenia.A212a","Schizophrenia.A212b","Schizophrenia.A212c","Schizophrenia.A67a","Schizophrenia.A67b","Schizophrenia.A67c","Normal.B272a","Normal.B272b","Normal.B272c","Normal.B190a","Normal.B190b","Normal.B190c","Normal.B367a","Normal.B367b","Normal.B367c","Normal.B226a","Normal.B226b","Normal.B226c","FoldChange","p.value"
"17","ENSG00000059573.4","protein_coding","-","ALDH18A1",3349,"chr10",48,48,23.3611,23.2307,23.7745,23.2144,22.5092,22.422,23.0777,24.2578,21.6626,23.3348,23.2677,20.2067,29.4416,25.3937,19.8088,24.9059,23.9728,23.0203,24.0709,22.8765,23.9748,33.2098,33.2623,26.2545,0.884353202001729,0.0309001563487893
"32","ENSG00000067082.10","protein_coding","-","KLF6",5976,"chr10",48,48,8.04966,8.79245,15.6479,11.3373,9.90381,11.2323,14.5221,9.47702,12.1649,16.5951,11.9199,15.0138,17.4615,13.3401,10.8833,13.2505,14.5246,17.2599,18.5377,14.646,14.1089,13.5451,11.3213,24.6646,0.788130552157935,0.0267265146244929
"76","ENSG00000099251.10","pseudogene","+","HSD17B7P2",1401,"chr10",48,48,8.584,6.73422,9.4316,9.18831,6.44791,5.829,6.54509,6.75473,7.93794,9.23466,11.7033,7.59819,5.79443,3.97611,4.74548,2.43202,4.41704,5.27671,8.35446,5.4177,5.99323,3.21835,3.33906,3.52719,1.69916667522248,6.96316466162055e-05
"106","ENSG00000107731.8","protein_coding","+","UNC5B",6841,"chr10",48,48,1.54546,1.44278,1.31246,1.5846,2.09458,0.960821,1.12498,1.31949,2.50939,1.10575,0.969929,0.6391,2.07667,4.30667,2.04933,1.39458,1.30927,1.72388,1.75914,2.21903,2.2502,1.50651,1.1625,2.26668,0.691351231203532,0.0400847801980225
"107","ENSG00000107736.15","protein_coding","+","CDH23",12758,"chr10",48,48,1.58488,1.58141,2.09799,1.54005,1.80679,0.390306,0.449212,0.912936,1.15251,1.40664,0.356755,0.297994,0.835152,3.26988,1.52937,0.811889,2.88478,2.49717,2.08037,2.97468,1.48081,0.942447,0.66918,2.00344,0.61774280991892,0.0430329219318635
"118","ENSG00000107815.3","protein_coding","+","C10orf2",3175,"chr10",48,48,4.95324,5.48592,5.6024,4.42787,5.10175,2.5721,4.53842,4.99822,4.79563,5.63583,4.80148,4.72981,5.38004,5.69238,5.87228,6.13844,6.92431,5.65468,6.23068,5.08005,5.95029,7.23589,7.91949,8.21138,0.755573967776342,0.00040403664038757
"136","ENSG00000107929.10","protein_coding","-","LARP4B",5640,"chr10",48,48,12.0909,15.57,12.345,12.1028,15.3817,10.1709,12.2808,11.797,14.4909,14.744,15.0219,15.6723,14.4536,16.1541,14.7093,11.865,15.3899,15.1673,16.1638,15.5606,15.4147,16.3697,14.0486,14.2906,0.900221173892126,0.0319221127801763
"195","ENSG00000120549.11","protein_coding","+","KIAA1217",9977,"chr10",48,48,0.821255,1.06202,1.40931,0.95071,1.03032,0.698741,1.29656,0.875556,1.66078,1.04577,1.15973,0.66685,3.22078,1.42686,1.52107,1.0382,1.10993,1.44666,0.958354,1.02228,1.68317,1.85076,1.4887,1.29802,0.701785418524794,0.0348120593921772
"259","ENSG00000138172.6","protein_coding","-","CALHM2",3159,"chr10",48,47,0.209174,0.137843,0.268132,0.053618,0.0493037,0.0630519,0.0518341,0.0460875,0.141762,0.0330284,0.225667,0.0601742,0.160613,0.117559,0.366017,0.215718,0.154653,0.167157,0.260927,0.15017,0.221497,0.135935,0.203618,0.215764,0.565352789551778,0.0109811102201722
"260","ENSG00000138175.8","protein_coding","-","ARL3",3844,"chr10",48,48,41.5308,37.1555,36.2257,37.9385,36.8712,49.2253,41.9583,44.4649,37.2219,37.8099,33.5242,33.2807,30.094,32.8152,34.7039,43.2556,32.5784,34.1134,36.6246,35.9739,38.0435,36.5855,34.1664,31.9167,1.11009499107922,0.0302721221085616
