Column#	Transcript ID	gene assignment	Gene Symbol	RefSeq	p-value (TYPE)	p-value (Subject ID (type))	p-value (Subjec ID (TYPE))	Ratio (Control vs SCZD)	Fold-Change (Control vs SCZD)	Fold-Change (Control vs SCZD) Description	F (Subject ID (TYPE)	SS (Subject ID (TYPE))	F (TYPE)	SS (TYPE)	SS (ERROR)	Flag
9993	7953775	NM_144670 // A2ML1 // alpha-2-macroglobulin-like 1 // 12p13.31 // 144568 /// ENS	A2ML1	NM_144670	0.0107035	0.564301	0.0107035	1.1053	1.1053	Control up vs SZD	0.829252	0.056372	13.3241	0.125184	0.181278	1
22176	8076497	"NM_017436 // A4GALT // alpha 1,4-galactosyltransferase // 22q11.2-q13.2 // 53947"	A4GALT	NM_017436	0.0123132	0.143038	0.0123132	0.85033	-1.17601	Control down vs SZD	1.89853	0.157739	12.4867	0.328272	0.221559	1
24882	8103706	NM_016228 // AADAT // aminoadipate aminotransferase // 4q33 // 51166 /// NM_1826	AADAT	NM_016228	0.0239285	0.000706177	0.0239285	1.23402	1.23402	Control up vs SZD	7.26361	0.367504	9.01547	0.552203	0.13492	1
13562	7989953	NM_024666 // AAGAB // alpha- and gamma-adaptin binding protein // 15q22.33-q23 /	AAGAB	NM_024666	0.0395092	0.0528755	0.0395092	0.877775	-1.13924	Control down vs SZD	2.69466	0.185305	6.87203	0.212237	0.18338	1
31363	8165345	"NM_001606 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q3"	ABCA2	NM_001606	0.0152257	0.528667	0.0152257	1.10536	1.10536	Control up vs SZD	0.884046	0.0665867	11.291	0.125305	0.200855	1
28372	8137310	"NM_007188 // ABCB8 // ATP-binding cassette, sub-family B (MDR/TAP), member 8 // "	ABCB8	NM_007188	0.034277	0.340615	0.034277	1.15114	1.15114	Control up vs SZD	1.23346	0.19946	7.44197	0.247396	0.431222	1
14649	8001271	"NM_033151 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 "	ABCC11	NM_033151	0.0203828	0.955182	0.0203828	0.943531	-1.05985	Control down vs SZD	0.243202	0.0258779	9.78285	0.0421933	0.283746	1
10805	7962312	"NM_005164 // ABCD2 // ATP-binding cassette, sub-family D (ALD), member 2 // 12q1"	ABCD2	NM_005164	0.0410497	0.00266639	0.0410497	1.54622	1.54622	Control up vs SZD	5.60997	2.11672	6.72332	2.37189	1.00617	1
4845	7903119	"NM_002858 // ABCD3 // ATP-binding cassette, sub-family D (ALD), member 3 // 1p22"	ABCD3	NM_002858	0.0450154	0.157465	0.0450154	1.16894	1.16894	Control up vs SZD	1.82435	0.286476	6.37287	0.304279	0.418745	1
12585	7980115	"NM_005050 // ABCD4 // ATP-binding cassette, sub-family D (ALD), member 4 // 14q2"	ABCD4	NM_005050	0.0488355	0.00158669	0.0488355	1.15552	1.15552	Control up vs SZD	6.22507	0.257819	6.07265	0.26094	0.110443	1
21011	8065469	NM_001042472 // ABHD12 // abhydrolase domain containing 12 // 20p11.21 // 26090 	ABHD12	NM_001042472	0.0478892	0.00861993	0.0478892	1.1182	1.1182	Control up vs SZD	4.34948	0.152226	6.14399	0.155879	0.0933298	1
8110	7936463	NM_002313 // ABLIM1 // actin binding LIM protein 1 // 10q25 // 3983 /// NM_00100	ABLIM1	NM_002313	0.0409931	1.27E-07	0.0409931	1.43317	1.43317	Control up vs SZD	27.9593	1.44233	6.72865	1.61749	0.137564	1
23093	8086201	NM_001607 // ACAA1 // acetyl-Coenzyme A acyltransferase 1 // 3p23-p22 // 30 /// 	ACAA1	NM_001607	1.35E-05	0.84048	1.35E-05	1.25567	1.25567	Control up vs SZD	0.441409	0.0234418	165.679	0.647303	0.141618	1
28376	8137336	NM_004769 // ACCN3 // amiloride-sensitive cation channel 3 // 7q35 // 9311 /// N	ACCN3	NM_004769	0.0217217	0.456862	0.0217217	1.17342	1.17342	Control up vs SZD	1.00306	0.202279	9.47337	0.319377	0.537767	1
24406	8099304	"NM_003501 // ACOX3 // acyl-Coenzyme A oxidase 3, pristanoyl // 4p15.3 // 8310 //"	ACOX3	NM_003501	0.0458241	0.00365574	0.0458241	1.16527	1.16527	Control up vs SZD	5.25398	0.277951	6.30651	0.29215	0.141075	1
18509	8039961	"NR_024080 // ACP1 // acid phosphatase 1, soluble // 2p25 // 52 /// NM_007099 // "	ACP1	NR_024080	0.0294988	0.620924	0.0294988	0.926871	-1.0789	Control down vs SZD	0.746356	0.0535091	8.07559	0.0720196	0.191184	1
13624	7990683	NM_015162 // ACSBG1 // acyl-CoA synthetase bubblegum family member 1 // 15q23-q2	ACSBG1	NM_015162	0.011866	3.54E-06	0.011866	1.74585	1.74585	Control up vs SZD	17.2962	1.83146	12.7039	3.87779	0.282368	1
14314	7997863	NM_174917 // ACSF3 // acyl-CoA synthetase family member 3 // 16q24.3 // 197322 /	ACSF3	NM_174917	0.0115587	0.489476	0.0115587	1.13093	1.13093	Control up vs SZD	0.947368	0.0882035	12.8597	0.189045	0.248277	1
5591	7910727	"NM_001103 // ACTN2 // actinin, alpha 2 // 1q42-q43 // 88 /// ENST00000366578 // "	ACTN2	NM_001103	0.00156307	0.000110687	0.00156307	2.32516	2.32516	Control up vs SZD	10.0616	1.78527	29.8823	8.89133	0.473157	1
12096	7975406	NM_003813 // ADAM21 // ADAM metallopeptidase domain 21 // 14q24.1 // 8747 /// EN	ADAM21	NM_003813	0.0315044	0.590549	0.0315044	1.22384	1.22384	Control up vs SZD	0.790271	0.392262	7.79391	0.509543	1.32364	1
29310	8146024	NM_145004 // ADAM32 // ADAM metallopeptidase domain 32 // 8p11.22 // 203102 /// 	ADAM32	NM_145004	0.0195004	0.00350636	0.0195004	1.51567	1.51567	Control up vs SZD	5.30029	1.29555	10.0021	2.1597	0.651813	1
30732	8159036	"NM_139025 // ADAMTS13 // ADAM metallopeptidase with thrombospondin type 1 motif,"	ADAMTS13	NM_139025	0.0157786	0.60066	0.0157786	1.13281	1.13281	Control up vs SZD	0.775523	0.104979	11.0985	0.194184	0.360975	1
9049	7945232	"NM_139055 // ADAMTS15 // ADAM metallopeptidase with thrombospondin type 1 motif,"	ADAMTS15	NM_139055	0.0142815	1.94E-10	0.0142815	2.4936	2.4936	Control up vs SZD	66.9552	5.37328	11.6425	10.4264	0.214005	1
14805	8002941	"NM_199355 // ADAMTS18 // ADAM metallopeptidase with thrombospondin type 1 motif,"	ADAMTS18	NM_199355	0.00845275	0.00680942	0.00845275	0.663455	-1.50726	Control down vs SZD	4.58932	0.850658	14.8282	2.10228	0.494282	1
30260	8154491	NM_001040272 // ADAMTSL1 // ADAMTS-like 1 // 9p22.2-p22.1 // 92949 /// NM_052866	ADAMTSL1	NM_001040272	0.00395485	0.00330567	0.00395485	0.555157	-1.80129	Control down vs SZD	5.36611	1.26191	20.5647	4.32514	0.627102	1
30262	8154512	NM_001040272 // ADAMTSL1 // ADAMTS-like 1 // 9p22.2-p22.1 // 92949 /// ENST00000	ADAMTSL1	NM_001040272	0.0428184	0.00127598	0.0428184	0.765468	-1.30639	Control down vs SZD	6.49483	0.81571	6.56161	0.892062	0.334917	1
6488	7919743	NM_019032 // ADAMTSL4 // ADAMTS-like 4 // 1q21.3 // 54507 /// ENST00000271643 //	ADAMTSL4	NM_019032	0.0449931	0.603431	0.0449931	1.18229	1.18229	Control up vs SZD	0.771505	0.329595	6.37472	0.35018	1.13923	1
29613	8148850	NM_174922 // ADCK5 // aarF domain containing kinase 5 // 8q24.3 // 203054 /// EN	ADCK5	NM_174922	0.0139855	0.922894	0.0139855	1.07182	1.07182	Control up vs SZD	0.309267	0.0306529	11.7592	0.0600755	0.264307	1
14097	7995492	NM_001114 // ADCY7 // adenylate cyclase 7 // 16q12-q13 // 113 /// ENST0000039469	ADCY7	NM_001114	0.00522798	0.0554771	0.00522798	1.31026	1.31026	Control up vs SZD	2.65478	0.299238	18.285	0.911925	0.300577	1
30117	8152902	NM_001115 // ADCY8 // adenylate cyclase 8 (brain) // 8q24 // 114 /// ENST0000028	ADCY8	NM_001115	0.0496236	2.59E-06	0.0496236	2.02539	2.02539	Control up vs SZD	18.1168	6.20522	6.01464	6.22036	0.913366	1
27813	8132151	NM_001118 // ADCYAP1R1 // adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1R1	NM_001118	0.0325221	1.28E-11	0.0325221	2.09341	2.09341	Control up vs SZD	95.378	5.33912	7.66005	6.81632	0.149276	1
