"","Transcript.ID","gene_assignment","Gene.Symbol","RefSeq","p.value.Diagnosis.","p.value.Control.vs..Schizophrenia.","Ratio.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia...Description.","F.Diagnosis.","SS.Diagnosis.","SS.Error.","F.Error.","FoldChange","p.value"
"1",8103508,"NM_017923 // MARCH1 // membrane-associated ring finger (C3HC4) 1 // 4q32.2-q32.3","1-Mar","NM_017923",0.0114342,0.0114342,1.36655,1.36655,"Control up vs Schizophrenia",7.61574,1.21793,3.51831,1,1.36655,0.0114342
"4",8058849,"NM_020814 // MARCH4 // membrane-associated ring finger (C3HC4) 4 // 2q35 // 5757","4-Mar","NM_020814",9.73e-10,9.73e-10,1.40521,1.40521,"Control up vs Schizophrenia",102.396,1.4452,0.310503,1,1.40521,9.73e-10
"5",7929247,"NM_017824 // MARCH5 // membrane-associated ring finger (C3HC4) 5 // 10q23.32-q23","5-Mar","NM_017824",0.000616699,0.000616699,0.899259,-1.11203,"Control down vs Schizophrenia",15.9271,0.140806,0.194494,1,-1.11203,0.000616699
"7",8045919,"NM_022826 // MARCH7 // membrane-associated ring finger (C3HC4) 7 // 2q24.2 // 64","7-Mar","NM_022826",0.000168433,0.000168433,0.877492,-1.13961,"Control down vs Schizophrenia",20.4515,0.213288,0.229438,1,-1.13961,0.000168433
"14",8049827,"NM_001008492 // SEPT2 // septin 2 // 2q37 // 4735 /// NM_004404 // SEPT2 // sept","2-Sep","NM_001008492",0.048333,0.048333,1.11078,1.11078,"Control up vs Schizophrenia",4.37059,0.137835,0.693812,1,1.11078,0.048333
"15",8073548,"NM_019106 // SEPT3 // septin 3 // 22q13.2 // 55964 /// NM_145733 // SEPT3 // sep","3-Sep","NM_019106",0.041097,0.041097,1.21232,1.21232,"Control up vs Schizophrenia",4.70803,0.462926,2.16319,1,1.21232,0.041097
"23",8054467,"NM_144710 // SEPT10 // septin 10 // 2q13 // 151011 /// NM_178584 // SEPT10 // se","10-Sep","NM_144710",0.0452297,0.0452297,0.881671,-1.13421,"Control down vs Schizophrenia",4.5078,0.198064,0.966635,1,-1.13421,0.0452297
"24",8095854,"NM_018243 // SEPT11 // septin 11 // 4q21.1 // 55752 /// ENST00000264893 // SEPT1","11-Sep","NM_018243",0.0464362,0.0464362,0.889824,-1.12382,"Control down vs Schizophrenia",4.45322,0.170168,0.840673,1,-1.12382,0.0464362
"38",8157477,"NM_017418 // DEC1 // deleted in esophageal cancer 1 // 9q32 // 50514 /// ENST000","1-Dec","NM_017418",0.00517343,0.00517343,0.797041,-1.25464,"Control down vs Schizophrenia",9.63638,0.642647,1.46717,1,-1.25464,0.00517343
"51",7959786,"NM_023928 // AACS // acetoacetyl-CoA synthetase // 12q24.31 // 65985 /// ENST000","AACS","NM_023928",1.98e-06,1.98e-06,0.819846,-1.21974,"Control down vs Schizophrenia",40.8241,0.492754,0.265544,1,-1.21974,1.98e-06
